entity_index,entity_id,pair_kind,modality,display_group,gene_symbol,perturbation_modality,label,stage_key,stage_label,pca1,pca2
6129,BGNGENUCHIALLY-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BGNGENUCHIALLY-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.1443629,-0.006584462
6256,BHBYCEGJAOZQEB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BHBYCEGJAOZQEB-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.14795148,0.06735875
6265,BHCXFIXVIVUZSU-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BHCXFIXVIVUZSU-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.28679043,0.05248767
6348,BHOREAOHBUIACH-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BHOREAOHBUIACH-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2129695,-0.06364979
6393,BHTZQKGNXUYDTN-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BHTZQKGNXUYDTN-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.43621933,-0.07471723
6421,BHXVYTQDWMQVBI-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BHXVYTQDWMQVBI-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.38094178,-0.039752863
6516,BILXCKPTUJCYKR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BILXCKPTUJCYKR-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.3724815,-0.11353433
6739,BJTVCQHTLJBWAM-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BJTVCQHTLJBWAM-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.268574,0.1256344
6789,BKAPEDBSPGLJKH-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BKAPEDBSPGLJKH-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.31687385,-0.12251179
6825,BKFATOLSBMSCCJ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BKFATOLSBMSCCJ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.18643399,-0.07357823
6992,BLEXXZVWXZWESJ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BLEXXZVWXZWESJ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.22517863,0.13369878
7102,BLVFZRYMHQHQEA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BLVFZRYMHQHQEA-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.3328975,-0.13547552
7402,BNNOOVMBXYKAHY-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BNNOOVMBXYKAHY-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.23361588,-0.07443044
7482,BNYDDAAZMBUFRG-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BNYDDAAZMBUFRG-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.35947236,-0.11301147
7623,BOTQTUGJFBEPBH-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BOTQTUGJFBEPBH-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.4308542,0.008917233
7774,BPPIAZSKPQNBKH-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BPPIAZSKPQNBKH-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.24093814,-0.14656945
7822,BPVCPXRVIUCQLZ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BPVCPXRVIUCQLZ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.37708247,-0.098959185
7843,BPYGZANGQJXJBZ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BPYGZANGQJXJBZ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.20040764,0.06653488
7850,BPZOJVFOSSNPSY-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BPZOJVFOSSNPSY-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.3083123,-0.05806586
7951,BQODKJDCCFPAIK-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BQODKJDCCFPAIK-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.32070965,0.009109275
8142,BRNWYCOPJNWIMK-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BRNWYCOPJNWIMK-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.30123582,-0.1380985
8174,BRSDYTOIPXVADW-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BRSDYTOIPXVADW-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.28199142,-0.10820268
8248,BSERBCMPRROZDN-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BSERBCMPRROZDN-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.22513562,-0.14019513
8268,BSHSESLKPAUJAR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BSHSESLKPAUJAR-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.1615598,-0.013431672
8332,BSSCMCQCVIVPJL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BSSCMCQCVIVPJL-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.25420824,-0.032910824
8670,BUMGYNXEJRWRKC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BUMGYNXEJRWRKC-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.3230095,-0.030337725
8681,BUMVAGBGFUVDGX-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BUMVAGBGFUVDGX-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.29363587,-0.031123307
8724,BUTPMQPSJKVTTB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BUTPMQPSJKVTTB-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.3397954,0.09573624
8727,BUTZKTWTMJRCSZ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BUTZKTWTMJRCSZ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.3454997,-0.06050226
8804,BVGSNXRGVVHCOG-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BVGSNXRGVVHCOG-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.200732,-0.08684446
8908,BVUJMFFRMZRNAT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BVUJMFFRMZRNAT-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.30599517,-0.23382448
9070,BWPTUOHVPVCBPV-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BWPTUOHVPVCBPV-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.42683294,-0.16276552
9093,BWTRODMOWIKPJQ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BWTRODMOWIKPJQ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.17491667,-0.024992067
9139,BXBKEAZCEXPIBK-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BXBKEAZCEXPIBK-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.3111166,-0.025178496
9298,BXXQNCRSGDAMIN-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BXXQNCRSGDAMIN-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.34018582,-0.007970435
9596,BZMBWQVOZHORIE-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BZMBWQVOZHORIE-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2400276,0.02590462
9678,BZXULBWGROURAF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,BZXULBWGROURAF-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.32627118,-0.08293255
9772,CAMWAWBWBXRPRP-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CAMWAWBWBXRPRP-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.3475251,-0.18031093
9805,CAQNCYJKSKYPSA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CAQNCYJKSKYPSA-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2666348,0.0006027501
9839,CAVOCRZWSBMIPC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CAVOCRZWSBMIPC-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.23838975,0.11517941
9888,CBCVJBUBLCIPBB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CBCVJBUBLCIPBB-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.3799125,0.054171227
9910,CBFIXLGPWIRKFS-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CBFIXLGPWIRKFS-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.34058884,0.019719994
9923,CBHGMEAEDWABMA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CBHGMEAEDWABMA-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.30909485,0.044979848
9960,CBNPHFVFDUFRKZ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CBNPHFVFDUFRKZ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.3727652,-0.022500396
9964,CBPABUQDOXFEGT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CBPABUQDOXFEGT-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.30753446,0.010451613
10121,CCLPPAVPDAAGNZ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CCLPPAVPDAAGNZ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.18665183,-0.0027570091
10146,CCNOKJYFOPFGPL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CCNOKJYFOPFGPL-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2239362,0.0041055083
10159,CCQPAEQGAVNNIA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CCQPAEQGAVNNIA-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2968608,-0.022161819
10205,CCXPJIIZWOMVEI-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CCXPJIIZWOMVEI-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.381706,-0.14253013
10234,CDBQUWIIIIFBCR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CDBQUWIIIIFBCR-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.33088106,-0.18000428
10252,CDEYJGMJYYCQKG-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CDEYJGMJYYCQKG-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.36869633,-0.11929928
10412,CDZBRAPZFKYVNL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CDZBRAPZFKYVNL-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.31960526,-0.012361487
10667,CFHUVGXAUZIHND-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CFHUVGXAUZIHND-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.19895093,-0.053901434
10778,CFXMSXLIIJLQEG-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CFXMSXLIIJLQEG-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.22932884,-0.0970253
10837,CGFUOVDXJUNSPL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CGFUOVDXJUNSPL-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.25754246,0.050932206
10898,CGODIUJNGGEOHR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CGODIUJNGGEOHR-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.28992128,0.15450692
10916,CGPYXDJNJSGPLK-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CGPYXDJNJSGPLK-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.33359534,0.10316145
10952,CGVHXBAVZLPFLL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CGVHXBAVZLPFLL-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.22028428,-0.01955582
11189,CIBRHBYPCRDFQR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CIBRHBYPCRDFQR-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.3430373,-0.030493345
11666,CKUVNOCSBYYHIS-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CKUVNOCSBYYHIS-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.2998474,-0.008946095
11668,CKVCZLKVWCAEAR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CKVCZLKVWCAEAR-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.3125839,-0.09770793
11703,CKZHIVFAECKZSQ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CKZHIVFAECKZSQ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.1838406,0.050925314
11715,CLAUJSRBKSRTGQ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CLAUJSRBKSRTGQ-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.3685092,-0.095774315
11743,CLFIDMRHBRIWGB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CLFIDMRHBRIWGB-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.21337438,-0.07049842
11770,CLIROFYCSDOINV-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CLIROFYCSDOINV-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.29304034,-0.059942707
12092,CMYPBYDHDKVKEM-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,CMYPBYDHDKVKEM-UHFFFAOYSA-N,branch_pretrained,Before joint training,-0.17701825,-0.06451069
