epoch,component,loss
20,Compound-profile,4.601134075437273
20,ORF-profile,4.945633247920445
20,CRISPR-profile,4.265304211207798
21,Alignment objective,9.207985884802682
21,Compound-profile,4.596371425901141
21,ORF-profile,4.947341537475586
21,CRISPR-profile,4.2758873871394565
22,Alignment objective,9.164266184398105
22,Compound-profile,4.573097494670323
22,ORF-profile,4.933981800079346
22,CRISPR-profile,4.248355640683855
23,Alignment objective,9.127170385633196
23,Compound-profile,4.552494042260307
23,ORF-profile,4.933936425617763
23,CRISPR-profile,4.215416308811733
24,Alignment objective,9.106910964420862
24,Compound-profile,4.543808698654175
24,ORF-profile,4.929662145887103
24,CRISPR-profile,4.196542423112052
25,Alignment objective,9.077732958112444
25,Compound-profile,4.5322332859039305
25,ORF-profile,4.909129040581839
25,CRISPR-profile,4.18187027999333
26,Alignment objective,9.060671581540788
26,Compound-profile,4.527939741952078
26,ORF-profile,4.906966808864048
26,CRISPR-profile,4.158496860095433
27,Alignment objective,9.039422450746809
27,Compound-profile,4.512655980246407
27,ORF-profile,4.8853966236114506
27,CRISPR-profile,4.168136313983372
28,Alignment objective,9.013493510654994
28,Compound-profile,4.504780054092407
28,ORF-profile,4.870650788715907
28,CRISPR-profile,4.1467761141913275
29,Alignment objective,9.005525473185948
29,Compound-profile,4.510202128546578
29,ORF-profile,4.8586460317884175
29,CRISPR-profile,4.13200068133218
30,Alignment objective,8.993783112934658
30,Compound-profile,4.493559537615095
30,ORF-profile,4.873301322119577
30,CRISPR-profile,4.127145845549447
31,Alignment objective,8.93153577532087
31,Compound-profile,4.469306945800781
31,ORF-profile,4.837432868140084
31,CRISPR-profile,4.087024743216379
32,Alignment objective,8.951686355045863
32,Compound-profile,4.4702607427324565
32,ORF-profile,4.8609451566423685
32,CRISPR-profile,4.101906064578465
33,Alignment objective,8.909705461774553
33,Compound-profile,4.441477462223598
33,ORF-profile,4.837736974443708
33,CRISPR-profile,4.098719038282122
34,Alignment objective,8.912722751072476
34,Compound-profile,4.4627256665910995
34,ORF-profile,4.824136011941093
34,CRISPR-profile,4.075858197893415
35,Alignment objective,8.881330401556832
35,Compound-profile,4.452658660071236
35,ORF-profile,4.824015249524797
35,CRISPR-profile,4.0333282096045355
36,Alignment objective,8.869747924804688
36,Compound-profile,4.442583915165493
36,ORF-profile,4.8087066037314274
36,CRISPR-profile,4.045621483666556
37,Alignment objective,8.844607012612478
37,Compound-profile,4.421569108963013
37,ORF-profile,4.811501809528896
37,CRISPR-profile,4.034573980740139
38,Alignment objective,8.826705462591988
38,Compound-profile,4.42072023664202
38,ORF-profile,4.811338397434779
38,CRISPR-profile,4.000632034029279
39,Alignment objective,8.806323412486485
39,Compound-profile,4.4177038192749025
39,ORF-profile,4.777111618859427
39,CRISPR-profile,4.000127601623535
40,Alignment objective,8.806163964952741
40,Compound-profile,4.41280962399074
40,ORF-profile,4.789878259386335
40,CRISPR-profile,3.996830371447972
41,Alignment objective,8.76510363306318
41,Compound-profile,4.378734956468855
41,ORF-profile,4.765840223857334
41,CRISPR-profile,4.006897071429662
42,Alignment objective,8.76600091797965
42,Compound-profile,4.38743736403329
42,ORF-profile,4.7765943050384525
42,CRISPR-profile,3.980532840320042
43,Alignment objective,8.724179553985596
43,Compound-profile,4.365390920639038
43,ORF-profile,4.755558729171753
43,CRISPR-profile,3.9620186022349766
44,Alignment objective,8.709632968902588
44,Compound-profile,4.375052915300642
44,ORF-profile,4.746756049564906
44,CRISPR-profile,3.922404030391148
45,Alignment objective,8.709637355804443
45,Compound-profile,4.372577333450318
45,ORF-profile,4.741315882546561
45,CRISPR-profile,3.932804182597569
46,Alignment objective,8.702438674654278
