setting,method,num_queries,num_candidates,random_expected_corr,mean_functional_neighbor_rank_percentile,best_functional_neighbor_rank_percentile,top10_corr,top10_poscorr,ndcg10,retention10,functional_top10_in_top10_rate,oracle_top10_corr,top50_corr,top50_poscorr,ndcg50,retention50,functional_top10_in_top50_rate,oracle_top50_corr,top100_corr,top100_poscorr,ndcg100,retention100,functional_top10_in_top100_rate,oracle_top100_corr,low_tanimoto
low_morgan_lt_0.20,Morgan,1856,1797.719827586207,0.03260497016607088,0.4636777619827707,0.07740562979566289,0.03883779119356628,0.04828544059956557,0.20141755330931244,0.02471169994178791,0.01061422413793103,0.2340920058926086,0.03706867991761711,0.04673407592808906,0.2353241539250419,0.02299741880002522,0.04207974137931035,0.18896691391035783,0.03678802135523201,0.0463980295535424,0.26078101792704456,0.02557245556716554,0.07941810344827586,0.1670218144034052,0.2
low_morgan_lt_0.20,AtomPair,1856,1797.719827586207,0.03260497016607088,0.44915237446843254,0.07811526385818249,0.04261334415806488,0.05153827657707528,0.211249695528096,0.03787277663515988,0.01126077586206896,0.2340920058926086,0.04134573232395253,0.0502912542698412,0.24747637435608869,0.04267992090772861,0.04725215517241379,0.18896691391035783,0.04060845072566541,0.04969687082979884,0.2733580873689111,0.04502488373898299,0.08879310344827587,0.1670218144034052,0.2
low_morgan_lt_0.20,Avalon,1856,1797.719827586207,0.03260497016607088,0.45834716762787975,0.08103487502437871,0.03973278439682329,0.04892129574723576,0.20195881431279392,0.02678690435331498,0.01050646551724138,0.2340920058926086,0.03915236392362443,0.04845372607496193,0.23952721678233643,0.03123043945290507,0.04364224137931034,0.18896691391035783,0.03872620562613537,0.04815169002133293,0.26563395746922536,0.03344320468864959,0.08071120689655173,0.1670218144034052,0.2
low_morgan_lt_0.20,Random,1856,1797.719827586207,0.03260497016607088,0.4999425712173029,0.09176147320618946,0.03202065036194535,0.04224505036446811,0.1820839623215825,-0.00150763559840268,0.0052801724137931,0.2340920058926086,0.03235274063896837,0.0425579144313206,0.217563763315217,-9.4605558938771e-4,0.02774784482758621,0.18896691391035783,0.0324458828527933,0.0425737600723337,0.2423998130048192,-8.380461042235e-4,0.05398706896551724,0.1670218144034052,0.2
low_morgan_lt_0.25,CGP-Align,1856,1839.28125,0.03275656558436496,0.4187459141625443,0.07040835232518552,0.05332832709800533,0.0613813867258209,0.23918825120798573,0.07492241299203001,0.01794181034482758,0.23657277120269257,0.04900421257913952,0.05733977555423687,0.27271042974745613,0.07605048520133437,0.0671875,0.19066440535645032,0.04709050357573247,0.05558144161520344,0.2975351646226536,0.07896620851590928,0.11724137931034484,0.16850716784413794,0.25
low_morgan_lt_0.25,RDKit2D,1856,1839.28125,0.03275656558436496,0.4371289293762271,0.07525048949340793,0.0457285182380449,0.05415227919856504,0.221877765003219,0.05316128335701985,0.01433189655172413,0.23657277120269257,0.04236677579447,0.05121929766377754,0.25309635507691336,0.0490505586456736,0.05576508620689655,0.19066440535645032,0.04086866789915971,0.04997502957728679,0.27634644528906754,0.04759401170733036,0.09806034482758622,0.16850716784413794,0.25
low_morgan_lt_0.25,NYAN,1856,1839.28125,0.03275656558436496,0.43955947665790746,0.0779585874424737,0.0451282339311392,0.05389368098122388,0.21709327018900584,0.0458980040359724,0.01411637931034483,0.23657277120269257,0.0423917913827384,0.0513262780813203,0.25077847382046603,0.04612752513120798,0.05226293103448275,0.19066440535645032,0.04118130500013463,0.05023322203228406,0.2753861167636819,0.04747853188613386,0.09482758620689656,0.16850716784413794,0.25
low_morgan_lt_0.25,Morgan,1856,1839.28125,0.03275656558436496,0.4565979655667962,0.0739084391679581,0.04251404686971953,0.05146190022330246,0.20934729751254744,0.03579764515792947,0.01352370689655172,0.23657277120269257,0.03937639532933044,0.04882031399351141,0.24194119624343963,0.0325003960820042,0.05307112068965517,0.19066440535645032,0.03811017823706304,0.04762241353739032,0.26538062412615465,0.03173042760352043,0.08970905172413793,0.16850716784413794,0.25
low_morgan_lt_0.25,AtomPair,1856,1839.28125,0.03275656558436496,0.4454232299963511,0.07719082828779375,0.04410286046060673,0.05267024464030214,0.21362204297944137,0.04272227084218515,0.01126077586206896,0.23657277120269257,0.0421692103285932,0.05105548140799963,0.2489552774248438,0.04504361437590757,0.04951508620689655,0.19066440535645032,0.04140487641181489,0.05040342738277619,0.27466882139901433,0.04812498010326491,0.09159482758620688,0.16850716784413794,0.25
low_morgan_lt_0.25,Avalon,1856,1839.28125,0.03275656558436496,0.45480431496853224,0.0795975411537476,0.04259063749371489,0.0514729340323856,0.210530125653172,0.03718225797619601,0.01293103448275862,0.23657277120269257,0.04030787392622024,0.049556069846383,0.2439056467608808,0.0356646663674318,0.04929956896551724,0.19066440535645032,0.03960651106830237,0.04894657704633879,0.26857864854729047,0.03695253987325821,0.08566810344827586,0.16850716784413794,0.25
low_morgan_lt_0.25,Random,1856,1839.28125,0.03275656558436496,0.5010499624003422,0.08898987916238099,0.03214464710952201,0.04245029575212511,0.18064318590799752,-0.00210303958469974,0.00533405172413793,0.23657277120269257,0.03274092589683673,0.04286584594632454,0.21645168712893523,-6.4735866684307e-4,0.02758620689655172,0.19066440535645032,0.03279159982431069,0.04286779681142412,0.24147065452705735,-1.3892323124173e-4,0.05603448275862069,0.16850716784413794,0.25
low_morgan_lt_0.30,CGP-Align,1856,1849.0366379310344,0.03282777660105368,0.415494747112065,0.06934393682237483,0.05495496448223099,0.06283840266165128,0.24269828738794655,0.08006919878515252,0.02009698275862068,0.23812963171452609,0.04988053794802049,0.05815539440328894,0.2752266931049123,0.07926781762179877,0.07219827586206896,0.19161943136224652,0.04766499610314104,0.05612270325232006,0.2992370612098387,0.08090066549854681,0.12284482758620688,0.1691959297298133,0.3
low_morgan_lt_0.30,RDKit2D,1856,1849.0366379310344,0.03282777660105368,0.4337627887807051,0.07290272884664893,0.04944414901592741,0.0575807497273683,0.2307180362551449,0.0641819026101965,0.02095905172413793,0.23812963171452609,0.04390420029562752,0.05262604397733413,0.2587075003973157,0.05511361758524558,0.06406250000000001,0.19161943136224652,0.04174467878967733,0.05076571119061598,0.28049341678785744,0.05181310538052856,0.10689655172413794,0.1691959297298133,0.3
low_morgan_lt_0.30,NYAN,1856,1849.0366379310344,0.03282777660105368,0.4369377059948062,0.07625777513346582,0.04692987727133534,0.05565602698239027,0.2225862755880555,0.05186610385655937,0.0165948275862069,0.23812963171452609,0.0433150386421989,0.05216704827231974,0.2539807912919446,0.04992221197618297,0.05705818965517242,0.19161943136224652,0.04181135434880324,0.05080851133384927,0.2778149724230023,0.05033415234489477,0.10032327586206898,0.1691959297298133,0.3
low_morgan_lt_0.30,Morgan,1856,1849.0366379310344,0.03282777660105368,0.4519383551500297,0.07195913466164836,0.04625644709311142,0.05512937224388942,0.2189500117184933,0.04594243626473962,0.02025862068965517,0.23812963171452609,0.04090442544214406,0.05020229892036734,0.2480784109395791,0.03842783058208671,0.06201508620689656,0.19161943136224652,0.03910436117814318,0.04851727110212046,0.27026255547265465,0.03647114564533409,0.09956896551724138,0.1691959297298133,0.3
low_morgan_lt_0.30,AtomPair,1856,1849.0366379310344,0.03282777660105368,0.4424312378372832,0.07493220491086157,0.04593087687997611,0.0543738514589283,0.21947232253476537,0.04899162671112438,0.01422413793103448,0.23812963171452609,0.04319594509693052,0.05198046010899312,0.2525499913098877,0.04906774649810598,0.0552801724137931,0.19161943136224652,0.04211125139483299,0.05102647971298362,0.2774097225116689,0.05136250266319198,0.09773706896551726,0.1691959297298133,0.3
low_morgan_lt_0.30,Avalon,1856,1849.0366379310344,0.03282777660105368,0.4518765665789245,0.07856928239104455,0.04550595646104875,0.05410700807506617,0.21742483245074803,0.04729634276009577,0.01654094827586207,0.23812963171452609,0.04142041437137854,0.05060927315670574,0.24774870865621257,0.03993693719021158,0.05554956896551723,0.19161943136224652,0.04030837252947673,0.04959532754479569,0.2713935365967094,0.04004695631062539,0.09191810344827588,0.1691959297298133,0.3
low_morgan_lt_0.30,Random,1856,1849.0366379310344,0.03282777660105368,0.5010180790113266,0.09170526217606884,0.03346169031267475,0.04337537095143822,0.18371591569604095,0.00224312617215454,0.00554956896551724,0.23812963171452609,0.03271280527949128,0.04282661828129484,0.216909335781763,-8.0742256166393e-4,0.02747844827586207,0.19161943136224652,0.03268303854062964,0.0427586147297151,0.2411705414953795,-0.00105168753222277,0.05334051724137931,0.1691959297298133,0.3
