row,run,epoch,mapped_edges,C2G_queries,G2C_queries,C2G_MRR,G2C_MRR,C2G_Recall@50,G2C_Recall@50,C2G_Lift@50,G2C_Lift@50,Mean_Lift@50,C2G_TargetDensityLift@50,G2C_TargetDensityLift@50,seed,graph,source
final_seed41,gene_union,160,11424,2311,1797,0.005107564671977018,0.004777671956402225,0.03851146689744699,0.025598219254312743,2.347768866995976,9.368110129853308,5.857939498424642,2.744122899159664,11.35156862745098,41,broad,dgidb
final_seed41,gene_union,160,5550,2276,1455,0.0029398304825379324,0.0033148067111834867,0.014059753954305799,0.010996563573883162,1.706337406356302,6.690968764202982,4.198653085279641,1.9531999999999998,10.431171171171172,41,broad,drugrep
final_seed41,gene_union,160,8484,752,1802,0.00911049007074395,0.0004332220130888664,0.07047872340425532,0.00388457269700333,1.9185725565528728,1.915889286453282,1.9172309215030774,2.141060820367751,2.1836115040075437,41,broad,hetionet
final_seed41,gene_union,160,14774,2517,3186,0.003698968268846944,0.0010616127601065892,0.01986491855383393,0.007846829880728186,1.0462758853814533,3.929336072208795,2.4878059787951243,1.2295085961824825,4.545544876133748,41,broad,openbiolink
final_seed41,gene_union,160,15794,1090,3881,0.008887847866553356,0.0006719702681300257,0.07247706422018349,0.003091986601391394,1.5577390999331686,1.7643256098310383,1.6610323548821033,1.7066075724958847,1.906063061922249,41,broad,pharmebinet
final_seed41,gene_union,160,5916,1753,1280,0.0043175060296511214,0.0046533204251272674,0.02452937820878494,0.02265625,2.1593973057007556,11.380901439188646,6.770149372444701,2.8723529411764708,13.700169033130491,41,strict,dgidb
final_seed41,gene_union,160,6549,2472,1645,0.003495775598129113,0.0030556175232300696,0.015776699029126214,0.0121580547112462,1.7655182811502943,7.089530799318539,4.427524540234417,2.2815666513971595,10.254371659795389,41,strict,drugrep
final_seed41,gene_union,160,4958,786,1335,0.009528685083951816,0.0009262130785943136,0.05089058524173028,0.009737827715355805,2.426072730220777,6.090985855944771,4.258529293082774,3.604634933440903,7.473077853973377,41,strict,hetionet
final_seed41,gene_union,160,18237,2701,3356,0.004104022343163031,0.0012337278875696697,0.02332469455757127,0.008939213349225268,1.0740498940887502,3.8249332870660306,2.4494915905773906,1.3816022372100676,4.5712518506333275,41,strict,openbiolink
final_seed41,gene_union,160,5913,908,1573,0.008442699218801255,0.0008120717482234896,0.04515418502202643,0.008264462809917356,2.0931046481333166,5.106852967104065,3.599978807618691,3.072004058853374,6.266111956705564,41,strict,pharmebinet
