method,num_queries,topk,corr_threshold,directed_hits,unique_pair_hits,queries_with_hit,query_hit_rate,hit_yield_per_1000_ranked,mean_hit_rank,median_hit_corr,setting,low_tanimoto
Avalon,1856,100,0.25,2323,1633,359,0.19342672413793102,12.516163793103448,50.738269479121826,0.312618225812912,low_morgan_lt_0.15,0.15
Random,1856,100,0.25,1283,1237,321,0.17295258620689655,6.912715517241379,49.61340607950117,0.30943581461906433,low_morgan_lt_0.15,0.15
CGP-Align,1856,10,0.3,435,347,183,0.09859913793103449,23.4375,5.147126436781609,0.3787873089313507,low_morgan_lt_0.15,0.15
RDKit2D,1856,10,0.3,122,109,86,0.04633620689655173,6.573275862068965,5.704918032786885,0.3638290911912918,low_morgan_lt_0.15,0.15
NYAN,1856,10,0.3,155,122,114,0.061422413793103446,8.351293103448276,5.180645161290323,0.3625262677669525,low_morgan_lt_0.15,0.15
Morgan,1856,10,0.3,117,77,93,0.050107758620689655,6.303879310344827,5.555555555555555,0.3516162633895874,low_morgan_lt_0.15,0.15
AtomPair,1856,10,0.3,149,116,106,0.057112068965517244,8.028017241379311,5.758389261744966,0.3622577488422394,low_morgan_lt_0.15,0.15
Avalon,1856,10,0.3,153,109,99,0.05334051724137931,8.243534482758621,5.372549019607843,0.3848552107810974,low_morgan_lt_0.15,0.15
Random,1856,10,0.3,92,91,78,0.04202586206896552,4.956896551724138,5.239130434782608,0.35887467861175537,low_morgan_lt_0.15,0.15
CGP-Align,1856,50,0.3,1680,1234,263,0.14170258620689655,18.10344827586207,23.10892857142857,0.36759185791015625,low_morgan_lt_0.15,0.15
RDKit2D,1856,50,0.3,595,473,206,0.11099137931034483,6.411637931034482,25.863865546218488,0.35436737537384033,low_morgan_lt_0.15,0.15
NYAN,1856,50,0.3,672,491,223,0.12015086206896551,7.241379310344828,24.540178571428573,0.3617049306631088,low_morgan_lt_0.15,0.15
Morgan,1856,50,0.3,512,314,204,0.10991379310344827,5.517241379310344,23.966796875,0.3652171194553375,low_morgan_lt_0.15,0.15
AtomPair,1856,50,0.3,711,508,239,0.12877155172413793,7.661637931034483,25.09845288326301,0.35861527919769287,low_morgan_lt_0.15,0.15
Avalon,1856,50,0.3,645,455,210,0.11314655172413793,6.950431034482759,24.525581395348837,0.36491870880126953,low_morgan_lt_0.15,0.15
Random,1856,50,0.3,369,362,163,0.08782327586206896,3.976293103448276,23.823848238482384,0.35925018787384033,low_morgan_lt_0.15,0.15
CGP-Align,1856,100,0.3,2898,1981,297,0.16002155172413793,15.614224137931034,44.43685300207039,0.3669779598712921,low_morgan_lt_0.15,0.15
RDKit2D,1856,100,0.3,1165,833,258,0.13900862068965517,6.276939655172415,49.67982832618026,0.3552015721797943,low_morgan_lt_0.15,0.15
NYAN,1856,100,0.3,1274,890,276,0.14870689655172414,6.864224137931034,48.5894819466248,0.35857899487018585,low_morgan_lt_0.15,0.15
