low_tanimoto,corr_threshold,topk,baseline,directed_hits_delta,directed_hits_relative,unique_pair_hits_delta,unique_pair_hits_relative,query_hit_rate_delta,yield_delta_per_1000,cgp_only_unique_pairs,baseline_only_unique_pairs,overlap_unique_pairs
0.3,0.3,10,Morgan,221,1.5681233933161953,207,1.828,0.023706896551724144,11.907327586206897,378,171,79
0.3,0.3,10,AtomPair,337,2.2344322344322345,261,2.3316326530612246,0.037176724137931036,18.157327586206897,394,133,63
0.3,0.3,10,Avalon,299,1.9614147909967845,248,2.186602870813397,0.0382543103448276,16.109913793103445,400,152,57
0.3,0.3,50,RDKit2D,981,1.789855072463768,785,1.9278959810874705,0.00915948275862069,10.571120689655173,1143,358,488
0.3,0.3,50,NYAN,1156,2.083411433926898,865,2.129242819843342,0.013469827586206906,12.456896551724139,1213,348,418
0.3,0.3,50,Morgan,1057,1.9065180102915953,922,2.300423131170663,0.004849137931034475,11.390086206896553,1234,312,397
0.3,0.3,50,AtomPair,1071,1.9296875,861,2.118181818181818,0.010237068965517238,11.54094827586207,1207,346,424
0.3,0.3,50,Avalon,1123,2.020909090909091,933,2.336676217765043,0.01831896551724138,12.101293103448278,1292,359,339
0.3,0.3,100,RDKit2D,1802,1.890316205533597,1365,2.0364464692482915,0.0053879310344827624,9.709051724137932,1774,409,908
0.3,0.3,100,NYAN,1945,2.0340244550770867,1406,2.1018808777429467,0.001077586206896547,10.479525862068966,1848,442,834
0.3,0.3,100,Morgan,1987,2.0804785209352907,1590,2.456043956043956,0.007543103448275856,10.705818965517242,1955,365,727
0.3,0.3,100,AtomPair,1775,1.8654314968308143,1342,2.0014925373134327,0.001077586206896547,9.563577586206899,1799,457,883
0.3,0.3,100,Avalon,1869,1.9550332141032192,1404,2.0985915492957745,0.007004310344827597,10.070043103448278,1916,512,766
0.3,0.4,10,RDKit2D,90,1.4455445544554455,66,1.4680851063829787,0.00808189655172413,4.849137931034484,151,85,56
0.3,0.4,10,NYAN,140,1.9210526315789473,93,1.8157894736842106,0.021012931034482756,7.543103448275861,167,74,40
0.3,0.4,10,Morgan,77,1.3581395348837209,69,1.5,0.004849137931034475,4.148706896551722,156,87,51
0.3,0.4,10,AtomPair,166,2.3174603174603177,122,2.4352941176470586,0.02424568965517241,8.943965517241379,178,56,29
0.3,0.4,10,Avalon,143,1.9597315436241611,108,2.090909090909091,0.025862068965517238,7.704741379310343,179,71,28
0.3,0.4,50,RDKit2D,364,1.6594202898550725,285,1.776566757493188,0.004310344827586202,3.9224137931034475,429,144,223
0.3,0.4,50,NYAN,458,2.0,327,2.006153846153846,0.014008620689655166,4.935344827586206,470,143,182
0.3,0.4,50,Morgan,349,1.6155202821869488,317,1.9462686567164178,0.0016163793103448204,3.7607758620689644,458,141,194
0.3,0.4,50,AtomPair,467,2.0400890868596884,358,2.2176870748299318,0.016702586206896547,5.032327586206896,471,113,181
0.3,0.4,50,Avalon,450,1.9656652360515021,367,2.287719298245614,0.020474137931034475,4.849137931034482,500,133,152
0.3,0.4,100,RDKit2D,664,1.8137254901960784,498,1.97265625,0.00754310344827587,3.5775862068965516,633,135,377
0.3,0.4,100,NYAN,741,2.002706359945873,524,2.078189300411523,0.008081896551724144,3.9924568965517246,667,143,343
0.3,0.4,100,Morgan,675,1.8385093167701863,550,2.1956521739130435,0.006465517241379309,3.636853448275862,681,131,329
0.3,0.4,100,AtomPair,720,1.9473684210526316,525,2.082474226804124,0.00915948275862069,3.8793103448275863,661,136,349
0.3,0.4,100,Avalon,714,1.9321148825065275,526,2.0867768595041323,0.008081896551724144,3.8469827586206904,691,165,319
0.25,0.25,10,RDKit2D,448,2.1914893617021276,340,2.129568106312292,0.04633620689655171,24.137931034482758,554,214,87
0.25,0.25,10,NYAN,443,2.1627296587926508,347,2.1802721088435373,0.04094827586206895,23.868534482758616,564,217,77
0.25,0.25,10,Morgan,471,2.3342776203966005,405,2.7161016949152543,0.044181034482758605,25.37715517241379,573,168,68
0.25,0.25,10,AtomPair,480,2.395348837209302,376,2.418867924528302,0.04364224137931033,25.862068965517242,573,197,68
0.25,0.25,10,Avalon,482,2.409356725146199,396,2.6163265306122447,0.04471982758620688,25.969827586206897,587,191,54
0.25,0.25,50,RDKit2D,1601,2.0088216761184623,1200,2.0434782608695654,0.021012931034482762,17.252155172413797,1777,577,573
0.25,0.25,50,NYAN,1608,2.017721518987342,1210,2.06140350877193,0.012392241379310331,17.327586206896555,1819,609,531
