setting,baseline,metric,direction,n_queries,mean_delta,ci95_low,ci95_high,paired_win_rate,wilcoxon_greater_p
low_morgan_lt_0.15,AtomPair,retention50,cgp_minus_baseline,1856,0.0505577641363614,0.044561215012191215,0.05685033677660907,0.6298491379310345,9.97882198112214e-47
low_morgan_lt_0.15,AtomPair,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.02898706896551724,0.023329741379310348,0.034645743534482756,0.30603448275862066,1.3280973952560979e-21
low_morgan_lt_0.15,AtomPair,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.04634474599286256,0.03941733112897641,0.053329133785607045,0.6373922413793104,4.976670214474255e-40
low_morgan_lt_0.15,Avalon,top50_corr,cgp_minus_baseline,1856,0.013097336398195195,0.011575196852420555,0.014619537470520638,0.6476293103448276,1.011786954315415e-60
low_morgan_lt_0.15,Avalon,ndcg50,cgp_minus_baseline,1856,0.044530503072987206,0.03968048883990055,0.049306952481015874,0.6524784482758621,1.1322875386042213e-58
low_morgan_lt_0.15,Avalon,retention50,cgp_minus_baseline,1856,0.062687260883926,0.055993281286225334,0.06903452066756993,0.6476293103448276,1.1259203344346666e-60
low_morgan_lt_0.15,Avalon,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.03577586206896552,0.030009428879310348,0.0413806573275862,0.3270474137931034,1.3271523833990335e-28
low_morgan_lt_0.15,Avalon,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.05346751437569964,0.046142382402527764,0.06054861819438955,0.6610991379310345,9.037176330787468e-52
low_morgan_lt_0.15,Morgan,top50_corr,cgp_minus_baseline,1856,0.015486713843197993,0.013885634474653035,0.017135365417930794,0.6686422413793104,4.680206211862249e-75
low_morgan_lt_0.15,Morgan,ndcg50,cgp_minus_baseline,1856,0.05235707109020507,0.04751270176008275,0.057488556786467984,0.6724137931034483,2.532945039100755e-75
low_morgan_lt_0.15,Morgan,retention50,cgp_minus_baseline,1856,0.07284753369163365,0.06607668525951918,0.08020240963090965,0.6686422413793104,2.1593253928567795e-76
low_morgan_lt_0.15,Morgan,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.03873922413793104,0.03292025862068965,0.04428879310344828,0.3432112068965517,1.0198734848316372e-34
low_morgan_lt_0.15,Morgan,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.06417213674882902,0.05682122878649908,0.07137724711350496,0.6756465517241379,2.2364078997085114e-64
low_morgan_lt_0.15,NYAN,top50_corr,cgp_minus_baseline,1856,0.011065373676315483,0.009622105109675243,0.01242197329083069,0.6325431034482759,1.696742005111101e-50
low_morgan_lt_0.15,NYAN,ndcg50,cgp_minus_baseline,1856,0.036087214878558996,0.03164314189740374,0.04057072863219832,0.6158405172413793,4.078496763963594e-43
low_morgan_lt_0.15,NYAN,retention50,cgp_minus_baseline,1856,0.051524170980082,0.045775335275604435,0.057940566402796594,0.6325431034482759,9.292551091965085e-50
low_morgan_lt_0.15,NYAN,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.026185344827586207,0.0203125,0.03216729525862068,0.30549568965517243,1.2841034039279991e-16
low_morgan_lt_0.15,NYAN,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.038249703200635816,0.0315439820522832,0.045014157398403254,0.6082974137931034,1.1857312041143207e-30
low_morgan_lt_0.15,RDKit2D,top50_corr,cgp_minus_baseline,1856,0.012228519010884313,0.010747339577684036,0.013812989493784534,0.6357758620689655,2.590832320497953e-49
low_morgan_lt_0.15,RDKit2D,ndcg50,cgp_minus_baseline,1856,0.038927769363694,0.03398366372977573,0.04401014029133955,0.6099137931034483,1.9664969810483045e-41
low_morgan_lt_0.15,RDKit2D,retention50,cgp_minus_baseline,1856,0.05400480331064179,0.04811643940854174,0.06023218635079993,0.6357758620689655,3.1606738598276355e-48
low_morgan_lt_0.15,RDKit2D,functional_top10_in_top50_rate,cgp_minus_baseline,1856,0.031734913793103454,0.026239224137931037,0.037176724137931036,0.3098060344827586,3.746571826514285e-23
low_morgan_lt_0.15,RDKit2D,mean_functional_neighbor_rank_percentile,baseline_minus_cgp,1856,0.038885907965295174,0.03244524109988167,0.045177123839099526,0.6061422413793104,3.1640415629082164e-30
low_morgan_lt_0.20,AtomPair,top50_corr,cgp_minus_baseline,1856,0.010890776390203808,0.009434876433248616,0.012423222737795971,0.6217672413793104,5.896641452418627e-43
low_morgan_lt_0.20,AtomPair,ndcg50,cgp_minus_baseline,1856,0.0352830789477563,0.030605693248856283,0.03962591698294502,0.6185344827586207,2.1523052303786424e-42
low_morgan_lt_0.20,AtomPair,retention50,cgp_minus_baseline,1856,0.04728111073711071,0.04114806738744363,0.05319947751401368,0.6217672413793104,5.2998456138374164e-43
