inchikey,prism_name,broad_id,prism_columns,prism_screens,prism_targets,prism_moa,prism_smiles,_cgp_row,compound_id,canonical_smiles,has_structure,has_compound_profile,num_nonmissing_prism_cell_lines
HJBWBFZLDZWPHF-UHFFFAOYSA-N,apalutamide,BRD-K91308639-001-02-7,1,HTS,,androgen receptor antagonist,CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,30276,HJBWBFZLDZWPHF-UHFFFAOYSA-N,CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,True,True,571
HJJPJSXJAXAIPN-UHFFFAOYSA-N,arecoline,BRD-K88646909-004-16-2,1,HTS,"CHRM1, CHRM2, CHRM3, CHRM4",acetylcholine receptor agonist,COC(=O)C1=CCCN(C)C1,30331,HJJPJSXJAXAIPN-UHFFFAOYSA-N,COC(=O)C1=CCCN(C)C1,True,True,569
HJLSLZFTEKNLFI-UHFFFAOYSA-N,tinidazole,BRD-K89125793-001-26-0,1,HTS,,antiprotozoal agent,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,30343,HJLSLZFTEKNLFI-UHFFFAOYSA-N,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,True,True,570
HJMQDJPMQIHLPB-UHFFFAOYSA-N,zardaverine,BRD-K37561857-001-15-5,1,HTS,PDE4D,phosphodiesterase inhibitor,COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F,30351,HJMQDJPMQIHLPB-UHFFFAOYSA-N,COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F,True,True,557
HJORMJIFDVBMOB-UHFFFAOYSA-N,rolipram,BRD-A34255068-001-34-5,1,HTS,,phosphodiesterase inhibitor,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,30365,HJORMJIFDVBMOB-UHFFFAOYSA-N,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,True,True,565
HJQILFPVRNHTIG-UHFFFAOYSA-N,tolimidone,BRD-K41772907-001-01-2,1,HTS,"LYN, SRC",src activator,Cc1cccc(Oc2cnc(=O)[nH]c2)c1,30381,HJQILFPVRNHTIG-UHFFFAOYSA-N,Cc1cccc(Oc2cnc(=O)[nH]c2)c1,True,True,574
HJSSPYJVWLTYHG-UHFFFAOYSA-N,SAR-245409,BRD-K75308783-001-07-0,1,HTS,"MTOR, PIK3CG",PI3K inhibitor,COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)c(OC)c3)cc2)cc(OC)c1,30405,HJSSPYJVWLTYHG-UHFFFAOYSA-N,COc1cc(N=c2[nH]c3ccccc3[nH]c2=NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)c(OC)c3)cc2)cc(OC)c1,True,True,567
HJXMNVQARNZTEE-UHFFFAOYSA-N,butylphthalide,BRD-A59378440-001-01-3,1,MTS004,KCNK2,potassium channel antagonist,CCCCC1OC(=O)c2ccccc21,30444,HJXMNVQARNZTEE-UHFFFAOYSA-N,CCCCC1OC(=O)c2ccccc21,True,True,546
HKEAFJYKMMKDOR-UHFFFAOYSA-N,kakonein,BRD-A07815743-001-01-1,1,HTS,,"GABA receptor antagonist, serotonin receptor antagonist",O=c1c(-c2ccc(O)cc2)coc2c(C3OC(CO)C(O)C(O)C3O)c(O)ccc12,30493,HKEAFJYKMMKDOR-UHFFFAOYSA-N,O=c1c(-c2ccc(O)cc2)coc2c(C3OC(CO)C(O)C(O)C3O)c(O)ccc12,True,True,569
HKQYGTCOTHHOMP-UHFFFAOYSA-N,formononetin,BRD-K55567017-001-12-3,1,HTS,"ADH1C, SLC5A2",alcohol dehydrogenase inhibitor,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,30574,HKQYGTCOTHHOMP-UHFFFAOYSA-N,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,True,True,565
HLCDNLNLQNYZTK-UHFFFAOYSA-N,CGK-733,BRD-A50737080-001-03-0,1,HTS,"ATM, ATR","ATM kinase inhibitor, ATR kinase inhibitor",O=C(NC(NC(=S)Nc1ccc(F)c([N+](=O)[O-])c1)C(Cl)(Cl)Cl)C(c1ccccc1)c1ccccc1,30657,HLCDNLNLQNYZTK-UHFFFAOYSA-N,O=C(NC(NC(=S)Nc1ccc(F)c([N+](=O)[O-])c1)C(Cl)(Cl)Cl)C(c1ccccc1)c1ccccc1,True,True,570
HLFSDGLLUJUHTE-UHFFFAOYSA-N,tetramisole,BRD-A46393198-003-16-6,1,HTS,,immunostimulant,c1ccc(C2CN3CCSC3=N2)cc1,30674,HLFSDGLLUJUHTE-UHFFFAOYSA-N,c1ccc(C2CN3CCSC3=N2)cc1,True,True,569
HLMBXBGDBBCYII-UHFFFAOYSA-N,SKF-96365,BRD-A72703248-003-04-9,1,HTS,"CYP3A4, PKD2, TRPC1, TRPC3, TRPC4, TRPC5, TRPV2",calcium channel blocker,COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1,30725,HLMBXBGDBBCYII-UHFFFAOYSA-N,COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1,True,True,569
HLVVITIHAZBPKB-UHFFFAOYSA-N,"hydroxytacrine-maleate-(r,s)",BRD-A98299281-050-09-6,1,HTS,ACHE,cholinesterase inhibitor,Nc1c2c(nc3ccccc13)CCCC2O,30787,HLVVITIHAZBPKB-UHFFFAOYSA-N,N=c1c2c([nH]c3ccccc13)CCCC2O,True,True,565
HMABYWSNWIZPAG-UHFFFAOYSA-N,rucaparib,BRD-K88560311-011-06-3,1,HTS,"PARP1, PARP2",PARP inhibitor,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,30820,HMABYWSNWIZPAG-UHFFFAOYSA-N,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,True,True,565
HMEDEBAJARCKCT-UHFFFAOYSA-N,azosemide,BRD-K68770713-001-01-8,1,HTS,"SLC12A1, SLC12A2",electrolyte reabsorption inhibitor,NS(=O)(=O)c1cc(-c2nnn[nH]2)c(NCc2cccs2)cc1Cl,30844,HMEDEBAJARCKCT-UHFFFAOYSA-N,NS(=O)(=O)c1cc(-c2nn[nH]n2)c(NCc2cccs2)cc1Cl,True,True,560
HNIFCPBQMKPRCX-UHFFFAOYSA-N,PF-3274167,BRD-K31417912-001-01-9,1,MTS004,"AVPR1A, OXTR",oxytocin receptor antagonist,COCc1nnc(N2CC(Oc3ccc(F)cc3Cl)C2)n1-c1ccc(OC)nc1,31047,HNIFCPBQMKPRCX-UHFFFAOYSA-N,COCc1nnc(N2CC(Oc3ccc(F)cc3Cl)C2)n1-c1ccc(OC)nc1,True,True,548
HNJJXZKZRAWDPF-UHFFFAOYSA-N,methapyrilene,BRD-K47323024-003-24-4,1,HTS,HRH1,histamine receptor antagonist,CN(C)CCN(Cc1cccs1)c1ccccn1,31060,HNJJXZKZRAWDPF-UHFFFAOYSA-N,CN(C)CCN(Cc1cccs1)c1ccccn1,True,True,570
HOKDBMAJZXIPGC-UHFFFAOYSA-N,levomequitazine,BRD-A67616246-001-07-9,1,HTS,HRH1,histamine receptor antagonist,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,31259,HOKDBMAJZXIPGC-UHFFFAOYSA-N,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,True,True,569
HOMGKSMUEGBAAB-UHFFFAOYSA-N,ifosfamide,BRD-A67097164-001-18-7,1,HTS,"CYP2A6, CYP2B6, CYP2C18, CYP2C19, CYP2C8, CYP2C9, CYP3A4, CYP3A5, CYP3A7, PTGS1",DNA alkylating agent,O=P1(NCCCl)OCCCN1CCCl,31275,HOMGKSMUEGBAAB-UHFFFAOYSA-N,O=P1(NCCCl)OCCCN1CCCl,True,True,563
HOOSGZJRQIVJSZ-UHFFFAOYSA-N,clidinium,BRD-A46066006-004-22-6,1,HTS,"CHRM1, CHRM3",acetylcholine receptor antagonist,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,31294,HOOSGZJRQIVJSZ-UHFFFAOYSA-N,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,True,True,569
HPHBOJANXDKUQD-UHFFFAOYSA-N,cyacetacide,BRD-K39371216-001-01-3,1,HTS,,,N#CCC(=O)NN,31418,HPHBOJANXDKUQD-UHFFFAOYSA-N,N#CCC(=O)NN,True,True,569
HPJKCIUCZWXJDR-UHFFFAOYSA-N,letrozole,BRD-K88789588-001-14-9,1,HTS,CYP19A1,aromatase inhibitor,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,31441,HPJKCIUCZWXJDR-UHFFFAOYSA-N,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,True,True,569
