setting,active_threshold,topk,baseline,metric,direction,n_queries,mean_delta,ci95_low,ci95_high,paired_win_rate,wilcoxon_greater_p
low_morgan_lt_0.30,-2.0,10,AtomPair,top_median_absdiff,baseline_minus_cgp,88,0.7887285366887227,0.5808464534226004,0.9922351755227281,0.75,9.868681917885313e-10
low_morgan_lt_0.30,-2.0,10,Avalon,top_active_fraction,cgp_minus_baseline,88,0.1965909090909091,0.1488636363636364,0.24434659090909075,0.7159090909090909,4.505097741564922e-10
low_morgan_lt_0.30,-2.0,10,Avalon,active_lift,cgp_minus_baseline,88,4.222317630322914,3.198608151183175,5.25074617465316,0.7159090909090909,5.535452083236429e-10
low_morgan_lt_0.30,-2.0,10,Avalon,top_mean_absdiff,baseline_minus_cgp,88,0.6058837866978137,0.43644922395243735,0.7771861948526996,0.7727272727272727,5.833121773340213e-09
low_morgan_lt_0.30,-2.0,10,Avalon,top_median_absdiff,baseline_minus_cgp,88,0.725607697918101,0.5216242838244646,0.940226619562715,0.7840909090909091,1.0945524772201469e-08
low_morgan_lt_0.30,-2.0,10,Morgan,top_active_fraction,cgp_minus_baseline,88,0.18977272727272732,0.14428977272727272,0.23863636363636365,0.7045454545454546,2.566438571035736e-10
low_morgan_lt_0.30,-2.0,10,Morgan,active_lift,cgp_minus_baseline,88,4.068727066907607,3.0203983116076176,5.135614775215727,0.7045454545454546,3.113519488241842e-10
low_morgan_lt_0.30,-2.0,10,Morgan,top_mean_absdiff,baseline_minus_cgp,88,0.665019760490329,0.511965607761712,0.826868940419572,0.7954545454545454,8.696642055379097e-11
low_morgan_lt_0.30,-2.0,10,Morgan,top_median_absdiff,baseline_minus_cgp,88,0.8133183995285601,0.6084725471933614,1.0248582002655398,0.7840909090909091,4.5404637167882143e-10
low_morgan_lt_0.30,-2.0,10,NYAN,top_active_fraction,cgp_minus_baseline,88,0.18522727272727268,0.14204545454545456,0.2340909090909091,0.6590909090909091,3.0402642712621527e-10
low_morgan_lt_0.30,-2.0,10,NYAN,active_lift,cgp_minus_baseline,88,3.9767008818853147,2.9897405831099544,4.932855335485947,0.6590909090909091,7.197819734177726e-10
low_morgan_lt_0.30,-2.0,10,NYAN,top_mean_absdiff,baseline_minus_cgp,88,0.6492559967548005,0.5008462174433755,0.8005090065874139,0.7954545454545454,4.3846880333573304e-11
low_morgan_lt_0.30,-2.0,10,NYAN,top_median_absdiff,baseline_minus_cgp,88,0.790330954656714,0.6090830516348598,0.9789670197960729,0.8181818181818182,3.4177783097890484e-11
low_morgan_lt_0.30,-2.0,10,RDKit2D,top_active_fraction,cgp_minus_baseline,88,0.17613636363636365,0.12954545454545457,0.2204545454545455,0.7159090909090909,1.7130263643093448e-09
low_morgan_lt_0.30,-2.0,10,RDKit2D,active_lift,cgp_minus_baseline,88,3.7769555310101324,2.833931678619882,4.783968052714629,0.7159090909090909,8.714416777157479e-10
low_morgan_lt_0.30,-2.0,10,RDKit2D,top_mean_absdiff,baseline_minus_cgp,88,0.5651779282749471,0.4107982870278647,0.7248298346535407,0.7954545454545454,9.37534869734403e-10
low_morgan_lt_0.30,-2.0,10,RDKit2D,top_median_absdiff,baseline_minus_cgp,88,0.7384277926817462,0.543642753965601,0.9369106595059995,0.7840909090909091,4.660637330484629e-10
low_morgan_lt_0.30,-2.0,50,AtomPair,top_active_fraction,cgp_minus_baseline,88,0.16818181818181818,0.1415909090909091,0.1950056818181818,0.8863636363636364,8.780068065619847e-15
low_morgan_lt_0.30,-2.0,50,AtomPair,active_lift,cgp_minus_baseline,88,3.61188164145042,3.0321406971026783,4.211138089790555,0.8863636363636364,6.7515385026414245e-15
low_morgan_lt_0.30,-2.0,50,AtomPair,top_mean_absdiff,baseline_minus_cgp,88,0.49389735499816284,0.4025840364168676,0.5877278336914841,0.8977272727272727,5.377256117865128e-14
low_morgan_lt_0.30,-2.0,50,AtomPair,top_median_absdiff,baseline_minus_cgp,88,0.5477856507456057,0.443585341907998,0.6614773178306843,0.8636363636363636,8.876320620555506e-14
low_morgan_lt_0.30,-2.0,50,Avalon,top_active_fraction,cgp_minus_baseline,88,0.16454545454545455,0.13886363636363636,0.19113636363636363,0.8522727272727273,1.3672883815626762e-14
low_morgan_lt_0.30,-2.0,50,Avalon,active_lift,cgp_minus_baseline,88,3.538972817749352,2.956310165478463,4.116027755285815,0.8522727272727273,1.206197060256976e-14
low_morgan_lt_0.30,-2.0,50,Avalon,top_mean_absdiff,baseline_minus_cgp,88,0.5469980014231062,0.44939636923501425,0.6458586414460706,0.8863636363636364,2.0110950564406582e-14
