low_tanimoto,active_threshold,topk,baseline,directed_active_hits_delta,directed_active_hits_relative,unique_active_pairs_delta,unique_active_pairs_relative,query_hit_rate_delta,yield_delta_per_1000,cgp_only_unique_pairs,baseline_only_unique_pairs,overlap_unique_pairs
0.25,-1.5,10,AtomPair,235,2.4156626506024095,185,2.3805970149253732,0.09090909090909083,194.21487603305786,299,114,20
0.25,-1.5,10,Avalon,249,2.638157894736842,214,3.038095238095238,0.14049586776859502,205.78512396694214,302,88,17
0.25,-1.5,50,RDKit2D,972,2.1882640586797066,747,2.2470784641068446,0.04132231404958675,160.66115702479337,1061,314,285
0.25,-1.5,50,NYAN,1030,2.3552631578947367,794,2.4384057971014492,0.016528925619834656,170.24793388429748,1101,307,245
0.25,-1.5,50,Morgan,1149,2.792511700468019,939,3.307125307125307,-0.024793388429752095,189.91735537190078,1154,215,192
0.25,-1.5,50,AtomPair,970,2.182926829268293,760,2.2969283276450514,-0.024793388429752095,160.33057851239667,1070,310,276
0.25,-1.5,50,Avalon,1096,2.5792507204610953,864,2.79253112033195,-0.024793388429752095,181.15702479338842,1166,302,180
0.25,-1.5,100,RDKit2D,1672,2.090671885192433,1255,2.182846371347785,0.03305785123966942,138.18181818181822,1678,423,638
0.25,-1.5,100,NYAN,1777,2.2443977591036415,1352,2.4024896265560165,-0.016528925619834767,146.85950413223142,1749,397,567
0.25,-1.5,100,Morgan,2054,2.784535186794092,1584,3.1639344262295084,-0.024793388429752095,169.7520661157025,1873,289,443
0.25,-1.5,100,AtomPair,1648,2.0584457289659603,1254,2.1807909604519775,-0.024793388429752095,136.19834710743802,1693,439,623
0.25,-1.5,100,Avalon,1820,2.3140794223826715,1368,2.4430379746835444,-0.016528925619834767,150.4132231404959,1806,438,510
0.25,-2.0,10,RDKit2D,158,2.4766355140186915,117,2.2857142857142856,0.25,179.54545454545453,186,69,22
0.25,-2.0,10,NYAN,165,2.65,129,2.632911392405063,0.23863636363636365,187.5,195,66,13
0.25,-2.0,10,Morgan,176,2.9775280898876404,150,3.586206896551724,0.28409090909090917,200.0,195,45,13
0.25,-2.0,10,AtomPair,195,3.7857142857142856,150,3.586206896551724,0.26136363636363635,221.59090909090907,201,51,7
0.25,-2.0,10,Avalon,174,2.912087912087912,146,3.3548387096774195,0.21590909090909094,197.72727272727272,193,47,15
0.25,-2.0,50,RDKit2D,695,2.517467248908297,519,2.535502958579882,0.07954545454545459,157.9545454545454,685,166,172
0.25,-2.0,50,NYAN,716,2.6384439359267735,546,2.7556270096463025,0.022727272727272818,162.7272727272727,707,161,150
0.25,-2.0,50,Morgan,792,3.193905817174515,628,3.7423580786026203,0.022727272727272818,179.99999999999994,739,111,118
0.25,-2.0,50,AtomPair,757,2.9116161616161618,565,2.934931506849315,0.011363636363636354,172.0454545454545,696,131,161
0.25,-2.0,50,Avalon,723,2.681395348837209,561,2.89527027027027,-0.011363636363636354,164.31818181818176,741,180,116
0.25,-2.0,100,RDKit2D,1170,2.425091352009744,856,2.499124343257443,0.022727272727272818,132.95454545454544,1052,196,375
0.25,-2.0,100,NYAN,1200,2.5170670037926675,882,2.618348623853211,-0.022727272727272707,136.36363636363637,1076,194,351
0.25,-2.0,100,Morgan,1365,3.180511182108626,1031,3.6035353535353534,-0.03409090909090906,155.11363636363637,1165,134,262
0.25,-2.0,100,AtomPair,1205,2.5330788804071247,879,2.604014598540146,-0.03409090909090906,136.9318181818182,1073,194,354
0.25,-2.0,100,Avalon,1184,2.4671623296158613,880,2.6087751371115173,-0.03409090909090906,134.54545454545456,1109,229,318
0.2,-1.0,10,RDKit2D,332,2.084967320261438,235,1.8576642335766422,0.06417112299465233,177.54010695187168,462,227,47
0.2,-1.0,10,NYAN,308,1.9333333333333333,242,1.9063670411985019,0.07486631016042777,164.7058823529412,468,226,41
0.2,-1.0,10,Morgan,386,2.5317460317460316,345,3.1036585365853657,0.06951871657754005,206.41711229946526,488,143,21
0.2,-1.0,10,AtomPair,298,1.8764705882352941,249,1.9576923076923076,0.053475935828877,159.3582887700535,470,221,39
0.2,-1.0,10,Avalon,354,2.2464788732394365,305,2.4950980392156863,0.11229946524064172,189.3048128342246,490,185,19
0.2,-1.0,50,RDKit2D,1466,1.9695767195767195,1094,1.9326513213981245,0.0,156.79144385026737,1824,730,443
0.2,-1.0,50,NYAN,1404,1.891994917407878,1116,1.9695916594265857,-0.016042780748663166,150.16042780748663,1869,753,398
0.2,-1.0,50,Morgan,1824,2.580589254766031,1527,3.0635135135135134,-0.021390374331550888,195.0802139037433,2023,496,244
0.2,-1.0,50,AtomPair,1351,1.830362630608482,1100,1.9425878320479864,-0.0267379679144385,144.49197860962568,1839,739,428
0.2,-1.0,50,Avalon,1577,2.1256245538900784,1286,2.310907237512742,-0.016042780748663166,168.66310160427807,1991,705,276
0.2,-1.0,100,RDKit2D,2525,1.8254331480876103,1874,1.8592388812471343,0.0,135.0267379679144,2981,1107,1074
0.2,-1.0,100,NYAN,2534,1.8308196721311476,1930,1.908235294117647,0.0,135.50802139037427,3053,1123,1002
0.2,-1.0,100,Morgan,3247,2.38938810440736,2546,2.6872100728959576,0.0,173.6363636363636,3362,816,693
0.2,-1.0,100,AtomPair,2320,1.7107843137254901,1835,1.8265765765765767,0.0,124.0641711229946,3013,1178,1042
0.2,-1.0,100,Avalon,2741,1.9641224059092508,2082,2.0552458185504308,0.0,146.57754010695183,3212,1130,843
