method,num_queries,topk,corr_threshold,directed_hits,unique_pair_hits,queries_with_hit,query_hit_rate,hit_yield_per_1000_ranked,mean_hit_rank,median_hit_corr,setting,low_tanimoto,section,query_idx,CGP-Align,RDKit2D,cgp_better,same,n_query,num_candidates,random_expected_corr,mean_functional_neighbor_rank_percentile,best_functional_neighbor_rank_percentile,top10_corr,top10_poscorr,ndcg10,retention10,functional_top10_in_top10_rate,oracle_top10_corr,top50_corr,top50_poscorr,ndcg50,retention50,functional_top10_in_top50_rate,oracle_top50_corr,top100_corr,top100_poscorr,ndcg100,retention100,functional_top10_in_top100_rate,oracle_top100_corr,num_pairs,mean_prism_response_corr,median_shared_top50_genes,mean_shared_top50_genes,mean_shared_gene_jaccard,mean_shared_gene_neglog10p,fraction_with_category_hit,mean_unique_categories,fraction_with_known_target_hit,retrieved_idx,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20,morgan_tanimoto,query_inchikey,retrieved_inchikey
AtomPair,1856.0,10.0,0.3,149.0,116.0,106.0,0.0571120689655172,8.028017241379311,5.758389261744966,0.3622577488422394,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,10.0,0.3,153.0,109.0,99.0,0.0533405172413793,8.243534482758621,5.372549019607843,0.3848552107810974,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,10.0,0.3,92.0,91.0,78.0,0.0420258620689655,4.956896551724138,5.239130434782608,0.3588746786117553,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,50.0,0.3,1680.0,1234.0,263.0,0.1417025862068965,18.10344827586207,23.10892857142857,0.3675918579101562,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,50.0,0.3,595.0,473.0,206.0,0.1109913793103448,6.411637931034482,25.863865546218488,0.3543673753738403,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,50.0,0.3,672.0,491.0,223.0,0.1201508620689655,7.241379310344828,24.540178571428573,0.3617049306631088,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,50.0,0.3,512.0,314.0,204.0,0.1099137931034482,5.517241379310344,23.966796875,0.3652171194553375,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,50.0,0.3,711.0,508.0,239.0,0.1287715517241379,7.661637931034483,25.09845288326301,0.3586152791976928,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,50.0,0.3,645.0,455.0,210.0,0.1131465517241379,6.950431034482759,24.52558139534884,0.3649187088012695,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,50.0,0.3,369.0,362.0,163.0,0.0878232758620689,3.976293103448276,23.823848238482384,0.3592501878738403,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
