setting,method,num_queries,num_candidates,random_expected_corr,mean_functional_neighbor_rank_percentile,best_functional_neighbor_rank_percentile,top10_corr,top10_poscorr,ndcg10,retention10,functional_top10_in_top10_rate,oracle_top10_corr,top50_corr,top50_poscorr,ndcg50,retention50,functional_top10_in_top50_rate,oracle_top50_corr,top100_corr,top100_poscorr,ndcg100,retention100,functional_top10_in_top100_rate,oracle_top100_corr
low_morgan_lt_0.20,AtomPair,1856,1797.719827586207,0.03260497016607088,0.44915237446843254,0.07811526385818249,0.042613344158064885,0.051538276577075284,0.211249695528096,0.03787277663515988,0.011260775862068965,0.2340920058926086,0.041345732323952535,0.0502912542698412,0.24747637435608869,0.04267992090772861,0.047252155172413796,0.18896691391035786,0.040608450725665414,0.04969687082979884,0.2733580873689111,0.045024883738982995,0.08879310344827587,0.1670218144034052
low_morgan_lt_0.20,Avalon,1856,1797.719827586207,0.03260497016607088,0.45834716762787975,0.08103487502437871,0.03973278439682329,0.04892129574723576,0.20195881431279392,0.026786904353314985,0.01050646551724138,0.2340920058926086,0.03915236392362443,0.048453726074961935,0.23952721678233643,0.03123043945290507,0.043642241379310345,0.18896691391035786,0.03872620562613537,0.04815169002133293,0.26563395746922536,0.03344320468864959,0.08071120689655173,0.1670218144034052
low_morgan_lt_0.20,Random,1856,1797.719827586207,0.03260497016607088,0.4999425712173029,0.09176147320618946,0.03202065036194535,0.04224505036446811,0.1820839623215825,-0.0015076355984026824,0.005280172413793104,0.2340920058926086,0.03235274063896837,0.042557914431320606,0.217563763315217,-0.0009460555893877184,0.02774784482758621,0.18896691391035786,0.0324458828527933,0.042573760072333704,0.24239981300481922,-0.0008380461042235013,0.05398706896551724,0.1670218144034052
low_morgan_lt_0.25,CGP-Align,1856,1839.28125,0.03275656558436496,0.4028554743539711,0.06990810150394398,0.05762725604867819,0.06556750848507073,0.2483144689117311,0.08518016926815154,0.021174568965517244,0.23657277120269257,0.053133175394737255,0.06123213918443334,0.2839573752090638,0.09165120953916939,0.07742456896551723,0.19066440535645032,0.05097776908008276,0.05921783386166113,0.3098857571947427,0.09666560991380156,0.13254310344827586,0.16850716784413794
low_morgan_lt_0.25,RDKit2D,1856,1839.28125,0.03275656558436496,0.4371289293762271,0.07525048949340793,0.0457285182380449,0.05415227919856504,0.221877765003219,0.05316128335701985,0.014331896551724139,0.23657277120269257,0.04236677579447,0.05121929766377754,0.25309635507691336,0.0490505586456736,0.055765086206896554,0.19066440535645032,0.040868667899159716,0.04997502957728679,0.27634644528906754,0.047594011707330366,0.09806034482758622,0.16850716784413794
low_morgan_lt_0.25,NYAN,1856,1839.28125,0.03275656558436496,0.43955947665790746,0.0779585874424737,0.0451282339311392,0.053893680981223886,0.21709327018900584,0.0458980040359724,0.01411637931034483,0.23657277120269257,0.0423917913827384,0.0513262780813203,0.25077847382046603,0.04612752513120798,0.052262931034482756,0.19066440535645032,0.04118130500013463,0.05023322203228406,0.2753861167636819,0.04747853188613386,0.09482758620689655,0.16850716784413794
low_morgan_lt_0.25,Morgan,1856,1839.28125,0.03275656558436496,0.45659796556679627,0.0739084391679581,0.04251404686971953,0.051461900223302465,0.20934729751254744,0.03579764515792947,0.013523706896551725,0.23657277120269257,0.039376395329330446,0.048820313993511416,0.24194119624343965,0.0325003960820042,0.05307112068965517,0.19066440535645032,0.03811017823706304,0.04762241353739032,0.26538062412615465,0.03173042760352043,0.08970905172413793,0.16850716784413794
low_morgan_lt_0.25,AtomPair,1856,1839.28125,0.03275656558436496,0.4454232299963511,0.07719082828779375,0.044102860460606734,0.05267024464030214,0.21362204297944137,0.04272227084218515,0.011260775862068965,0.23657277120269257,0.0421692103285932,0.05105548140799963,0.2489552774248438,0.04504361437590757,0.049515086206896555,0.19066440535645032,0.041404876411814895,0.05040342738277619,0.27466882139901433,0.04812498010326491,0.09159482758620689,0.16850716784413794
low_morgan_lt_0.25,Avalon,1856,1839.28125,0.03275656558436496,0.45480431496853224,0.0795975411537476,0.042590637493714896,0.0514729340323856,0.210530125653172,0.03718225797619601,0.01293103448275862,0.23657277120269257,0.04030787392622024,0.049556069846383,0.2439056467608808,0.0356646663674318,0.049299568965517244,0.19066440535645032,0.039606511068302375,0.04894657704633879,0.26857864854729047,0.036952539873258215,0.08566810344827586,0.16850716784413794
low_morgan_lt_0.25,Random,1856,1839.28125,0.03275656558436496,0.5010499624003422,0.08898987916238099,0.032144647109522015,0.04245029575212511,0.18064318590799752,-0.0021030395846997436,0.005334051724137931,0.23657277120269257,0.03274092589683673,0.04286584594632454,0.21645168712893523,-0.000647358666843074,0.027586206896551727,0.19066440535645032,0.032791599824310694,0.04286779681142412,0.24147065452705735,-0.00013892323124173705,0.05603448275862069,0.16850716784413794
low_morgan_lt_0.30,CGP-Align,1856,1849.0366379310344,0.03282777660105368,0.4008063055201339,0.06906495792241016,0.059205937804502874,0.06710813595689684,0.2523449718214008,0.08947456564798918,0.02359913793103448,0.23812963171452606,0.0537339381243553,0.06183865703159411,0.2859175948422935,0.09301382352031999,0.08103448275862067,0.19161943136224652,0.051550218574870646,0.05976793637726787,0.31167942101497365,0.09850332284774184,0.13653017241379312,0.1691959297298133
low_morgan_lt_0.30,RDKit2D,1856,1849.0366379310344,0.03282777660105368,0.4337627887807051,0.07290272884664893,0.04944414901592741,0.0575807497273683,0.23071803625514486,0.0641819026101965,0.020959051724137933,0.23812963171452606,0.04390420029562752,0.05262604397733413,0.2587075003973157,0.05511361758524558,0.06406250000000001,0.19161943136224652,0.04174467878967733,0.050765711190615986,0.28049341678785744,0.05181310538052856,0.10689655172413794,0.1691959297298133
low_morgan_lt_0.30,NYAN,1856,1849.0366379310344,0.03282777660105368,0.4369377059948062,0.07625777513346582,0.046929877271335345,0.05565602698239027,0.22258627558805547,0.05186610385655937,0.0165948275862069,0.23812963171452606,0.043315038642198905,0.052167048272319744,0.2539807912919446,0.04992221197618297,0.05705818965517242,0.19161943136224652,0.041811354348803245,0.05080851133384927,0.2778149724230023,0.05033415234489477,0.10032327586206898,0.1691959297298133
low_morgan_lt_0.30,Morgan,1856,1849.0366379310344,0.03282777660105368,0.4519383551500297,0.07195913466164836,0.04625644709311142,0.055129372243889425,0.2189500117184933,0.04594243626473962,0.020258620689655175,0.23812963171452606,0.04090442544214406,0.05020229892036734,0.24807841093957914,0.038427830582086715,0.06201508620689656,0.19161943136224652,0.03910436117814318,0.048517271102120466,0.27026255547265465,0.03647114564533409,0.09956896551724138,0.1691959297298133
low_morgan_lt_0.30,AtomPair,1856,1849.0366379310344,0.03282777660105368,0.44243123783728316,0.07493220491086157,0.045930876879976115,0.0543738514589283,0.21947232253476534,0.04899162671112438,0.014224137931034482,0.23812963171452606,0.043195945096930526,0.05198046010899312,0.2525499913098877,0.04906774649810598,0.0552801724137931,0.19161943136224652,0.04211125139483299,0.05102647971298362,0.2774097225116689,0.051362502663191985,0.09773706896551726,0.1691959297298133
low_morgan_lt_0.30,Avalon,1856,1849.0366379310344,0.03282777660105368,0.45187656657892444,0.07856928239104455,0.045505956461048755,0.05410700807506617,0.21742483245074803,0.04729634276009577,0.01654094827586207,0.23812963171452606,0.04142041437137854,0.05060927315670574,0.24774870865621257,0.03993693719021158,0.055549568965517236,0.19161943136224652,0.040308372529476735,0.049595327544795696,0.2713935365967094,0.040046956310625395,0.09191810344827588,0.1691959297298133
low_morgan_lt_0.30,Random,1856,1849.0366379310344,0.03282777660105368,0.5010180790113266,0.09170526217606884,0.033461690312674756,0.04337537095143822,0.18371591569604095,0.002243126172154547,0.005549568965517242,0.23812963171452606,0.03271280527949128,0.04282661828129484,0.216909335781763,-0.0008074225616639371,0.02747844827586207,0.19161943136224652,0.03268303854062964,0.0427586147297151,0.2411705414953795,-0.001051687532222779,0.05334051724137931,0.1691959297298133
