CGP-Align,RDKit2D,active_label,active_lift,active_queries,active_threshold,best_functional_neighbor_rank_percentile,candidate_active_rate,cgp_better,directed_active_hits,functional_top10_in_top100_rate,functional_top10_in_top10_rate,functional_top10_in_top50_rate,hit_yield_per_1000_ranked,low_tanimoto,mean_functional_neighbor_rank_percentile,method,method_score,morgan_tanimoto,n_query,ndcg10,ndcg100,ndcg50,num_active_compounds,num_candidates,num_queries,oracle_top100_corr,oracle_top10_corr,oracle_top50_corr,pair,query_hit_rate,query_inchikey,query_moa,query_name,query_u2os_lfc,random_expected_corr,rank,retention10,retention100,retention50,retrieved_inchikey,retrieved_moa,retrieved_name,retrieved_u2os_lfc,same,setting,source_file,tan_label,top100_corr,top100_poscorr,top10_corr,top10_poscorr,top50_corr,top50_poscorr,top_active_fraction,top_mean_absdiff,top_mean_lfc,top_median_absdiff,topk,u2os_absdiff,unique_active_pairs
,,,1.6598346203095449,187,-1,,0.09869096702207704,,1512,,,,161.71122994652407,0.2,,RDKit2D,,,,,,,187,,,,,,,0.962566844919786,,,,,,,,,,,,,,,low_morgan_lt_0.20,figure6_panel_b_u2os_pairs_source.csv,,,,,,,,0.1617112299465241,2.069738362508858,-0.25947430751138284,2.1801205494367633,50,,1173
,,,2.700123445204239,187,-1,,0.09869096702207704,,2457,,,,262.7807486631016,0.2,,CGP-Align,,,,,,,187,,,,,,,0.9732620320855616,,,,,,,,,,,,,,,low_morgan_lt_0.20,figure6_panel_b_u2os_pairs_source.csv,,,,,,,,0.2627807486631016,1.8795961080394672,-0.5892614645364739,1.97778137071982,50,,1801
0.04,0,,,,,,,TRUE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.06,0,,,,,,,TRUE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.16,0,,,,,,,TRUE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.18,0,,,,,,,TRUE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.22,0,,,,,,,TRUE,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.26,0,,,,,,,TRUE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0,0.02,,,,,,,FALSE,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.02,0.02,,,,,,,FALSE,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.08,0.02,,,,,,,TRUE,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.12,0.02,,,,,,,TRUE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.3,0.02,,,,,,,TRUE,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0,0.04,,,,,,,FALSE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.02,0.04,,,,,,,FALSE,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.04,0.04,,,,,,,FALSE,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.06,0.04,,,,,,,TRUE,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.08,0.04,,,,,,,TRUE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.14,0.04,,,,,,,TRUE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.16,0.04,,,,,,,TRUE,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.18,0.04,,,,,,,TRUE,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.28,0.04,,,,,,,TRUE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.32,0.04,,,,,,,TRUE,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.4,0.04,,,,,,,TRUE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0,0.06,,,,,,,FALSE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.02,0.06,,,,,,,FALSE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.04,0.06,,,,,,,FALSE,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.06,0.06,,,,,,,FALSE,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
0.08,0.06,,,,,,,TRUE,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,figure6_panel_c_cgp_vs_rdkit2d_source.csv,,,,,,,,,,,,,,
