entity_index,entity_id,pair_kind,modality,display_group,gene_symbol,perturbation_modality,label,stage_key,stage_label,pca1,pca2
9586,IPO5|crispr|JCP2022_803451,gene,gene_embedding,gene_embedding::crispr,IPO5,crispr,IPO5::crispr,branch_pretrained,Before joint training,-0.53585064,0.32643032
9607,IQSEC1|orf|JCP2022_913091,gene,gene_embedding,gene_embedding::orf,IQSEC1,orf,IQSEC1::orf,branch_pretrained,Before joint training,-0.67493534,-0.5001992
9651,ISCU|orf|JCP2022_913145,gene,gene_embedding,gene_embedding::orf,ISCU,orf,ISCU::orf,branch_pretrained,Before joint training,-0.6008527,-0.4052368
9653,ISG15|orf|JCP2022_906970,gene,gene_embedding,gene_embedding::orf,ISG15,orf,ISG15::orf,branch_pretrained,Before joint training,-0.6238459,-0.46931842
9763,JDP2|crispr|JCP2022_803525,gene,gene_embedding,gene_embedding::crispr,JDP2,crispr,JDP2::crispr,branch_pretrained,Before joint training,-0.5437504,0.39198908
9782,JRKL|crispr|JCP2022_803533,gene,gene_embedding,gene_embedding::crispr,JRKL,crispr,JRKL::crispr,branch_pretrained,Before joint training,-0.53821087,0.34386107
9783,JSRP1|orf|JCP2022_904506,gene,gene_embedding,gene_embedding::orf,JSRP1,orf,JSRP1::orf,branch_pretrained,Before joint training,-0.67226446,-0.5017693
9812,KATNA1|crispr|JCP2022_803547,gene,gene_embedding,gene_embedding::crispr,KATNA1,crispr,KATNA1::crispr,branch_pretrained,Before joint training,-0.59245217,0.3654726
9813,KATNA1|orf|JCP2022_910808,gene,gene_embedding,gene_embedding::orf,KATNA1,orf,KATNA1::orf,branch_pretrained,Before joint training,-0.6954751,-0.5049503
9823,KBTBD7|orf|JCP2022_904054,gene,gene_embedding,gene_embedding::orf,KBTBD7,orf,KBTBD7::orf,branch_pretrained,Before joint training,-0.7026442,-0.49311933
9885,KCNH7|crispr|JCP2022_803583,gene,gene_embedding,gene_embedding::crispr,KCNH7,crispr,KCNH7::crispr,branch_pretrained,Before joint training,-0.5506588,0.4048973
