compound_id,method,hits_at_50,best_positive_rank
PKUIGYPWWZPUHR-UHFFFAOYSA-N,Structure feature baseline,0,1905
WMQMTOXNANGCSX-UHFFFAOYSA-N,Structure feature baseline,1,33
OGGGSPSWOGWLLP-UHFFFAOYSA-N,Structure feature baseline,0,1763
QEIQMWDDDVQPTQ-UHFFFAOYSA-N,Structure feature baseline,0,1146
AFDWCQXGQUHADK-UHFFFAOYSA-N,Structure feature baseline,0,312
JLVZHQPWOYUVIM-UHFFFAOYSA-N,Structure feature baseline,0,1061
HOTFBIGNFLQBQZ-UHFFFAOYSA-N,Structure feature baseline,0,771
KWTCHICBROPOJB-UHFFFAOYSA-N,Structure feature baseline,0,280
INZQGWZWBIBSBE-UHFFFAOYSA-N,Structure feature baseline,0,1001
BSHSESLKPAUJAR-UHFFFAOYSA-N,Structure feature baseline,0,899
JSDPQSQMWIHNHI-UHFFFAOYSA-N,Structure feature baseline,0,1445
BCVRGRGRZZOOSG-UHFFFAOYSA-N,Structure feature baseline,0,1048
WYMLGCDOZHERKB-UHFFFAOYSA-N,Structure feature baseline,0,219
NPWPPJGIVMQPKQ-UHFFFAOYSA-N,Structure feature baseline,0,199
KJTRXVXWSSPHRV-UHFFFAOYSA-N,Structure feature baseline,0,1442
YCCRFDDXAVMSLM-UHFFFAOYSA-N,Structure feature baseline,1,34
FHKFZPLCSIJSRI-UHFFFAOYSA-N,Structure feature baseline,0,550
GCHDQNVWHNCFFG-UHFFFAOYSA-N,Structure feature baseline,1,28
VELPRACQQSNJEC-UHFFFAOYSA-N,Structure feature baseline,0,275
ZTKNZPVVDXBNJK-UHFFFAOYSA-N,Structure feature baseline,0,58
ZWLSQALLPDAVGT-UHFFFAOYSA-N,Structure feature baseline,0,82
IFRKWFLWYMEBBM-UHFFFAOYSA-N,Structure feature baseline,1,1
SDCGKDRIHLPEQB-UHFFFAOYSA-N,Structure feature baseline,0,213
HESNQMCDLAORBY-UHFFFAOYSA-N,Structure feature baseline,0,480
NXBMAZDITNHQCU-UHFFFAOYSA-N,Structure feature baseline,0,524
AYSFQVGYLYABDF-UHFFFAOYSA-N,Structure feature baseline,0,282
RJJZXEAQEMTTKE-UHFFFAOYSA-N,Structure feature baseline,0,633
AIWNVTLAUAQOOO-UHFFFAOYSA-N,Structure feature baseline,0,564
