stage_order,stage_key,stage_label,entity_index,entity_id,pair_kind,modality,display_group,gene_symbol,perturbation_modality,label,pca_scope,pca_panel,pca1,pca2,latent_dim1,latent_dim2
3,joint_aligned,After CGP-Align alignment,113427,ZNAUEAHSKQLSDT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZNAUEAHSKQLSDT-UHFFFAOYSA-N,shared,Shared latent,-0.17280793,-0.15715319,-0.17280793,-0.15715319
3,joint_aligned,After CGP-Align alignment,113639,ZODNQJUCKOXFTA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZODNQJUCKOXFTA-UHFFFAOYSA-N,shared,Shared latent,-0.16933288,-0.22889277,-0.16933288,-0.22889277
3,joint_aligned,After CGP-Align alignment,113803,ZPAIUNYOZKMWJM-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZPAIUNYOZKMWJM-UHFFFAOYSA-N,shared,Shared latent,0.013419569,0.24766415,0.013419569,0.24766415
3,joint_aligned,After CGP-Align alignment,113868,ZPISLBBRFBNFDA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZPISLBBRFBNFDA-UHFFFAOYSA-N,shared,Shared latent,-0.11018966,-0.30388352,-0.11018966,-0.30388352
3,joint_aligned,After CGP-Align alignment,113930,ZPSACFKWOWSMII-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZPSACFKWOWSMII-UHFFFAOYSA-N,shared,Shared latent,-0.2611954,-0.05379661,-0.2611954,-0.05379661
3,joint_aligned,After CGP-Align alignment,113957,ZPWMOLGIQBSEIK-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZPWMOLGIQBSEIK-UHFFFAOYSA-N,shared,Shared latent,-0.3713082,0.05581001,-0.3713082,0.05581001
3,joint_aligned,After CGP-Align alignment,114068,ZQMHDWXCLWZEGJ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZQMHDWXCLWZEGJ-UHFFFAOYSA-N,shared,Shared latent,-0.031869113,-0.004092671,-0.031869113,-0.004092671
3,joint_aligned,After CGP-Align alignment,114286,ZRPCFYVYAZTBIN-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZRPCFYVYAZTBIN-UHFFFAOYSA-N,shared,Shared latent,0.058915526,0.27302796,0.058915526,0.27302796
3,joint_aligned,After CGP-Align alignment,114287,ZRPIIQFTZUBLHR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZRPIIQFTZUBLHR-UHFFFAOYSA-N,shared,Shared latent,-0.22779217,-0.16452631,-0.22779217,-0.16452631
3,joint_aligned,After CGP-Align alignment,114289,ZRPQSRCNYPZGNN-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZRPQSRCNYPZGNN-UHFFFAOYSA-N,shared,Shared latent,-0.15908283,-0.094734676,-0.15908283,-0.094734676
3,joint_aligned,After CGP-Align alignment,114381,ZSBYBDJZYHYAPA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZSBYBDJZYHYAPA-UHFFFAOYSA-N,shared,Shared latent,-0.06707297,-0.15605181,-0.06707297,-0.15605181
3,joint_aligned,After CGP-Align alignment,114601,ZTKNZPVVDXBNJK-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZTKNZPVVDXBNJK-UHFFFAOYSA-N,shared,Shared latent,-0.23126727,0.17141604,-0.23126727,0.17141604
