scope,method,k,n_query,n_gallery,hit_at_k,recall_at_k,precision_enrichment,mean_best_positive_rank
crispr_to_crispr,ESM-2 baseline,100,788,787,0.7271573604060914,0.12461928934010152,0.9807538071065991,74.85406091370558
compound_to_orf,CGP-Align entity,50,11578,1479,0.3305406806011401,0.04004145793746761,1.1844263257902918,125.25695284159613
compound_to_orf,CGP-Align entity,100,11578,1479,0.5433580929348765,0.0781309379858352,1.1555565728105026,125.25695284159613
compound_to_orf,CGP entity -> profile anchor,50,11578,1479,0.3672482294005873,0.056607358783900504,1.6744456728277768,128.39333218172396
compound_to_orf,CGP entity -> profile anchor,100,11578,1479,0.5625323890136465,0.10198652617032303,1.5083807220590777,128.39333218172396
compound_to_orf,CGP profile encoder,50,11578,1479,0.37985835204698565,0.06123682846778373,1.8113853860770428,113.73518742442563
compound_to_orf,CGP profile encoder,100,11578,1479,0.5975125237519433,0.11141820694420453,1.647875280704785,113.73518742442563
compound_to_crispr,CGP-Align entity,50,11578,788,0.5031093453100708,0.06742960787700812,1.062690620141648,68.20953532561755
compound_to_crispr,CGP-Align entity,100,11578,788,0.7662808775263431,0.13517878735532907,1.0652088443599932,68.20953532561755
compound_to_crispr,CGP entity -> profile anchor,50,11578,788,0.507427880462947,0.0912938331318017,1.4387908101571947,79.22810502677491
compound_to_crispr,CGP entity -> profile anchor,100,11578,788,0.7253411642770772,0.173605113145621,1.3680082915874936,79.22810502677491
compound_to_crispr,CGP profile encoder,50,11578,788,0.5794610468129211,0.11196234237346692,1.7645265158058387,63.019519778891
compound_to_crispr,CGP profile encoder,100,11578,788,0.8062705130419762,0.20841250647780274,1.6422905510450856,63.019519778891
orf_to_compound,CGP-Align entity,50,1479,11578,0.08857336037863421,0.010412440838404327,2.411104800540906,955.8972278566599
orf_to_compound,CGP-Align entity,100,1479,11578,0.15280594996619337,0.019066937119675456,2.207569979716024,955.8972278566599
orf_to_compound,CGP entity -> profile anchor,50,1479,11578,0.07167004732927654,0.01061528059499662,2.458074374577417,1573.46923597025
orf_to_compound,CGP entity -> profile anchor,100,1479,11578,0.11494252873563218,0.016768086544962812,1.9414090601757945,1573.46923597025
orf_to_compound,CGP profile encoder,50,1479,11578,0.1169709263015551,0.021839080459770115,5.057057471264367,1418.0838404327249
orf_to_compound,CGP profile encoder,100,1479,11578,0.1832319134550372,0.03373901284651792,3.9063029073698443,1418.0838404327249
crispr_to_compound,CGP-Align entity,50,788,11578,0.11548223350253807,0.014467005076142132,3.3499796954314722,738.0164974619289
crispr_to_compound,CGP-Align entity,100,788,11578,0.19035532994923857,0.024746192893401017,2.865114213197969,738.0164974619289
crispr_to_compound,CGP entity -> profile anchor,50,788,11578,0.07106598984771574,0.013578680203045685,3.1442791878172587,2137.1129441624366
crispr_to_compound,CGP entity -> profile anchor,100,788,11578,0.10532994923857868,0.01954314720812183,2.2627055837563455,2137.1129441624366
crispr_to_compound,CGP profile encoder,50,788,11578,0.1649746192893401,0.038451776649746194,8.903893401015228,1842.21192893401
crispr_to_compound,CGP profile encoder,100,788,11578,0.23096446700507614,0.055710659898477156,6.450180203045686,1842.21192893401
orf_to_crispr,CGP-Align entity,50,1479,788,0.48951994590939824,0.06450304259634888,1.0165679513184585,70.91413116970926
orf_to_crispr,CGP-Align entity,100,1479,788,0.7464503042596349,0.12812711291413117,1.0096416497633536,70.91413116970926
orf_to_crispr,CGP entity -> profile anchor,50,1479,788,0.46112237998647737,0.07667342799188641,1.20837322515213,90.97565922920893
orf_to_crispr,CGP entity -> profile anchor,100,1479,788,0.6876267748478702,0.1475321162947938,1.162553076402975,90.97565922920893
orf_to_crispr,CGP profile encoder,50,1479,788,0.5260311020960108,0.09438810006761325,1.4875564570655848,77.2210953346856
orf_to_crispr,CGP profile encoder,100,1479,788,0.716024340770791,0.1663286004056795,1.3106693711967545,77.2210953346856
orf_to_crispr,ESM-2 baseline,50,1479,788,0.48073022312373226,0.06294793779580798,0.9920594996619339,73.98782961460446
orf_to_crispr,ESM-2 baseline,100,1479,788,0.7329276538201488,0.1242055442866802,0.9787396889790398,73.98782961460446
crispr_to_orf,CGP-Align entity,50,788,1479,0.29949238578680204,0.035406091370558376,1.0473121827411167,128.7296954314721
crispr_to_orf,CGP-Align entity,100,788,1479,0.5203045685279187,0.0715736040609137,1.0585736040609137,128.7296954314721
crispr_to_orf,CGP entity -> profile anchor,50,788,1479,0.3197969543147208,0.045431472081218276,1.3438629441624366,153.61167512690355
crispr_to_orf,CGP entity -> profile anchor,100,788,1479,0.5190355329949239,0.08730964467005076,1.2913096446700507,153.61167512690355
crispr_to_orf,CGP profile encoder,50,788,1479,0.5888324873096447,0.1083756345177665,3.205751269035533,73.46446700507614
crispr_to_orf,CGP profile encoder,100,788,1479,0.7703045685279187,0.17766497461928935,2.6276649746192895,73.46446700507614
crispr_to_orf,ESM-2 baseline,50,788,1479,0.26903553299492383,0.03083756345177665,0.9121751269035534,143.28680203045684
crispr_to_orf,ESM-2 baseline,100,788,1479,0.4784263959390863,0.06345177664974619,0.9384517766497462,143.28680203045684
