task,seed,method,n,positive,auprc,auroc,lift_at_top50
Endocrine Disruption_SR-HSE,13,cgp_plus_alert_extratrees,6145,334,0.39225951329445113,0.8296012518071756,15.086526946107783
Endocrine Disruption_SR-HSE,41,structure_alert_extratrees,6145,334,0.23802919501604097,0.7742189858795574,5.519461077844311
Endocrine Disruption_SR-HSE,41,cgp_latent_extratrees,6145,334,0.3678691391945207,0.8121549879075097,15.086526946107783
Endocrine Disruption_SR-HSE,41,cgp_plus_alert_extratrees,6145,334,0.4078982897155097,0.8315382657503784,15.45449101796407
Endocrine Disruption_SR-HSE,97,structure_alert_extratrees,6145,334,0.2404169037081143,0.7800529555241607,6.255389221556887
Endocrine Disruption_SR-HSE,97,cgp_latent_extratrees,6145,334,0.3614093691742941,0.8094747520962207,15.45449101796407
Endocrine Disruption_SR-HSE,97,cgp_plus_alert_extratrees,6145,334,0.406705327787947,0.826892163015219,15.45449101796407
Endocrine Disruption_SR-HSE,123,structure_alert_extratrees,6145,334,0.2700194841672296,0.792288165022562,8.095209580838324
Endocrine Disruption_SR-HSE,123,cgp_latent_extratrees,6145,334,0.35842803231172715,0.8079300871669155,15.086526946107783
Endocrine Disruption_SR-HSE,123,cgp_plus_alert_extratrees,6145,334,0.41464522954862876,0.8328454088209745,15.45449101796407
Endocrine Disruption_SR-HSE,2026,structure_alert_extratrees,6145,334,0.2576777094246364,0.7757914733259347,7.359281437125748
Endocrine Disruption_SR-HSE,2026,cgp_latent_extratrees,6145,334,0.3361850038793978,0.8033960473477414,13.614670658682634
Endocrine Disruption_SR-HSE,2026,cgp_plus_alert_extratrees,6145,334,0.3777912536088583,0.8181321919918552,14.718562874251496
Endocrine Disruption_SR-MMP,13,structure_alert_extratrees,5529,875,0.6705623441653437,0.888705875130456,5.560594285714286
Endocrine Disruption_SR-MMP,13,cgp_latent_extratrees,5529,875,0.716705202645195,0.9105746209098164,5.939725714285714
Endocrine Disruption_SR-MMP,13,cgp_plus_alert_extratrees,5529,875,0.7732261679141319,0.9292577813248204,6.066102857142857
Endocrine Disruption_SR-MMP,41,structure_alert_extratrees,5529,875,0.6601984852677751,0.8847128737184603,5.686971428571429
Endocrine Disruption_SR-MMP,41,cgp_latent_extratrees,5529,875,0.7136315884002999,0.9109098164405428,5.8133485714285715
Endocrine Disruption_SR-MMP,41,cgp_plus_alert_extratrees,5529,875,0.7673080052210619,0.9285360672846709,6.066102857142857
Endocrine Disruption_SR-MMP,97,structure_alert_extratrees,5529,875,0.6565380119754625,0.8838338756215852,5.181462857142857
Endocrine Disruption_SR-MMP,97,cgp_latent_extratrees,5529,875,0.7196640542921825,0.9122728221499172,5.8133485714285715
Endocrine Disruption_SR-MMP,97,cgp_plus_alert_extratrees,5529,875,0.772147505433543,0.9266334336055007,6.066102857142857
Endocrine Disruption_SR-MMP,123,structure_alert_extratrees,5529,875,0.6625315700828267,0.8823870096384064,5.686971428571429
Endocrine Disruption_SR-MMP,123,cgp_latent_extratrees,5529,875,0.722533893066967,0.9124325618515562,5.939725714285714
Endocrine Disruption_SR-MMP,123,cgp_plus_alert_extratrees,5529,875,0.7765959290801958,0.9284383326171035,6.19248
Endocrine Disruption_SR-MMP,2026,structure_alert_extratrees,5529,875,0.6470763633477302,0.8813237153907546,5.434217142857143
Endocrine Disruption_SR-MMP,2026,cgp_latent_extratrees,5529,875,0.7104763824102114,0.9093315734544782,5.686971428571429
Endocrine Disruption_SR-MMP,2026,cgp_plus_alert_extratrees,5529,875,0.7623796388278465,0.9245779360304501,5.939725714285714
Endocrine Disruption_SR-p53,13,structure_alert_extratrees,6446,393,0.4255043403486318,0.8625323636125171,12.137506361323155
Endocrine Disruption_SR-p53,13,cgp_latent_extratrees,6446,393,0.43383261593378264,0.8835485863002343,12.793587786259542
Endocrine Disruption_SR-p53,13,cgp_plus_alert_extratrees,6446,393,0.5059280599110705,0.9107512561852913,12.465547073791349
Endocrine Disruption_SR-p53,41,structure_alert_extratrees,6446,393,0.4323651880829481,0.8544327902510017,12.465547073791349
Endocrine Disruption_SR-p53,41,cgp_latent_extratrees,6446,393,0.4455524108261191,0.8805691792053989,13.449669211195928
Endocrine Disruption_SR-p53,41,cgp_plus_alert_extratrees,6446,393,0.5023521318233446,0.9072577305892942,13.777709923664121
Endocrine Disruption_SR-p53,97,structure_alert_extratrees,6446,393,0.3997010082398781,0.8534138014964505,11.80946564885496
Endocrine Disruption_SR-p53,97,cgp_latent_extratrees,6446,393,0.43262981191384264,0.8870643917658646,11.80946564885496
Endocrine Disruption_SR-p53,97,cgp_plus_alert_extratrees,6446,393,0.4868981064377463,0.9030781531585498,12.137506361323155
Endocrine Disruption_SR-p53,123,structure_alert_extratrees,6446,393,0.45766949896983916,0.8663930866825653,13.121628498727736
Endocrine Disruption_SR-p53,123,cgp_latent_extratrees,6446,393,0.4589203977521511,0.887192606109981,13.777709923664121
Endocrine Disruption_SR-p53,123,cgp_plus_alert_extratrees,6446,393,0.5278328773764334,0.9165635697227502,13.777709923664121
Endocrine Disruption_SR-p53,2026,structure_alert_extratrees,6446,393,0.4448073222067096,0.8701115128493893,13.121628498727736
Endocrine Disruption_SR-p53,2026,cgp_latent_extratrees,6446,393,0.46610454438470283,0.889490375306506,12.793587786259542
Endocrine Disruption_SR-p53,2026,cgp_plus_alert_extratrees,6446,393,0.5171249821049114,0.9100212751736254,13.449669211195928
