task,representation,display,model,fold,n_train,n_test,positive_train,positive_test,n_train_scaffolds,n_test_scaffolds,scaffold_overlap,auroc,auprc
Endocrine Disruption_SR-ATAD5,Avalon1024,Avalon,extratrees_scaffold,4,5326,1411,187,55,2657,882,0,0.8265486725663717,0.2797391532757368
Endocrine Disruption_SR-HSE,CGP_sep_k32,CGP-Align,extratrees_scaffold,0,6131,14,331,3,3208,13,0,0.8484848484848484,0.7916666666666666
Endocrine Disruption_SR-HSE,CGP_sep_k32,CGP-Align,extratrees_scaffold,1,4876,1269,279,55,2416,805,0,0.783899955069642,0.3794609757715903
Endocrine Disruption_SR-HSE,CGP_sep_k32,CGP-Align,extratrees_scaffold,2,3620,2525,186,148,2414,807,0,0.8113906923330567,0.38488113519123285
Endocrine Disruption_SR-HSE,CGP_sep_k32,CGP-Align,extratrees_scaffold,3,4964,1181,274,60,2427,794,0,0.8278471602735652,0.3515405067616082
Endocrine Disruption_SR-HSE,CGP_sep_k32,CGP-Align,extratrees_scaffold,4,4989,1156,266,68,2419,802,0,0.7524329584775087,0.2926764130707292
Endocrine Disruption_SR-HSE,RDKit2D,RDKit2D,extratrees_scaffold,0,6131,14,331,3,3208,13,0,0.8787878787878788,0.7222222222222222
Endocrine Disruption_SR-HSE,RDKit2D,RDKit2D,extratrees_scaffold,1,4876,1269,279,55,2416,805,0,0.7843642354350757,0.31512862693508414
Endocrine Disruption_SR-HSE,RDKit2D,RDKit2D,extratrees_scaffold,2,3620,2525,186,148,2414,807,0,0.7212475411886434,0.23345871776451088
Endocrine Disruption_SR-HSE,RDKit2D,RDKit2D,extratrees_scaffold,3,4964,1181,274,60,2427,794,0,0.8300029735355338,0.38442987032372883
Endocrine Disruption_SR-HSE,RDKit2D,RDKit2D,extratrees_scaffold,4,4989,1156,266,68,2419,802,0,0.760191392733564,0.24979721658954787
Endocrine Disruption_SR-HSE,NYAN_latent,NYAN,extratrees_scaffold,0,6131,14,331,3,3208,13,0,0.803030303030303,0.7666666666666666
Endocrine Disruption_SR-HSE,NYAN_latent,NYAN,extratrees_scaffold,1,4876,1269,279,55,2416,805,0,0.7424442114722181,0.23610844488987498
Endocrine Disruption_SR-HSE,NYAN_latent,NYAN,extratrees_scaffold,2,3620,2525,186,148,2414,807,0,0.7002851084151043,0.22653515758902362
Endocrine Disruption_SR-HSE,NYAN_latent,NYAN,extratrees_scaffold,3,4964,1181,274,60,2427,794,0,0.7736619090098127,0.3444189384150419
Endocrine Disruption_SR-HSE,NYAN_latent,NYAN,extratrees_scaffold,4,4989,1156,266,68,2419,802,0,0.7759785899653979,0.2617398805961702
Endocrine Disruption_SR-HSE,Morgan2048,Morgan,extratrees_scaffold,0,6131,14,331,3,3208,13,0,0.7878787878787878,0.6666666666666666
Endocrine Disruption_SR-HSE,Morgan2048,Morgan,extratrees_scaffold,1,4876,1269,279,55,2416,805,0,0.8231915530927065,0.2608445006498063
Endocrine Disruption_SR-HSE,Morgan2048,Morgan,extratrees_scaffold,2,3620,2525,186,148,2414,807,0,0.6986719576117977,0.14383778560168956
Endocrine Disruption_SR-HSE,Morgan2048,Morgan,extratrees_scaffold,3,4964,1181,274,60,2427,794,0,0.778181683021112,0.2808581350849897
Endocrine Disruption_SR-HSE,Morgan2048,Morgan,extratrees_scaffold,4,4989,1156,266,68,2419,802,0,0.7426470588235294,0.2399070368452739
Endocrine Disruption_SR-HSE,AtomPair2048,AtomPair,extratrees_scaffold,0,6131,14,331,3,3208,13,0,0.6666666666666666,0.4722222222222222
Endocrine Disruption_SR-HSE,AtomPair2048,AtomPair,extratrees_scaffold,1,4876,1269,279,55,2416,805,0,0.756222854575408,0.2811906912820474
Endocrine Disruption_SR-HSE,AtomPair2048,AtomPair,extratrees_scaffold,2,3620,2525,186,148,2414,807,0,0.7135754812448123,0.1869158763391776
Endocrine Disruption_SR-HSE,AtomPair2048,AtomPair,extratrees_scaffold,3,4964,1181,274,60,2427,794,0,0.8005872732679156,0.32887957120532024
