method,active_queries,topk,directed_active_hits,unique_active_pairs,query_hit_rate,top_active_fraction,candidate_active_rate,active_lift,top_mean_lfc,top_mean_absdiff,top_median_absdiff,hit_yield_per_1000_ranked,setting,low_tanimoto,active_threshold,num_active_compounds
NYAN,88,100,734,520,0.9886363636363636,0.0834090909090909,0.043882680723391784,1.9454515567523367,-0.29479379114155146,2.794514081782386,2.9694093481256543,83.4090909090909,low_morgan_lt_0.15,0.15,-2.0,88
Morgan,88,100,471,283,0.9772727272727273,0.05352272727272727,0.043882680723391784,1.2432336042781866,-0.13183822581787272,2.9300409824867923,3.0952189227302203,53.52272727272727,low_morgan_lt_0.15,0.15,-2.0,88
AtomPair,88,100,728,517,0.9659090909090909,0.08272727272727272,0.043882680723391784,1.9353126124943676,-0.3132590774398638,2.7735054994828996,2.931577170644728,82.72727272727273,low_morgan_lt_0.15,0.15,-2.0,88
Avalon,88,100,710,492,0.9772727272727273,0.08068181818181817,0.043882680723391784,1.883891077103121,-0.2550354154206103,2.8266894247110628,3.0061557903609355,80.68181818181819,low_morgan_lt_0.15,0.15,-2.0,88
Random,88,100,384,374,0.9659090909090909,0.04363636363636363,0.043882680723391784,0.9982657323321079,-0.09850268906216529,2.948448477058277,3.0850736097087395,43.63636363636364,low_morgan_lt_0.15,0.15,-2.0,88
CGP-Align,121,10,375,302,0.8512396694214877,0.30991735537190085,0.06056380189182692,5.204596376074283,-1.0139125763128842,1.9988524286963492,2.07125330324913,309.91735537190084,low_morgan_lt_0.15,0.15,-1.5,121
RDKit2D,121,10,118,113,0.5950413223140496,0.09752066115702479,0.06056380189182692,1.6627595262783865,-0.22767168330259563,2.5171475593955064,2.645214703609428,97.52066115702479,low_morgan_lt_0.15,0.15,-1.5,121
NYAN,121,10,147,114,0.6694214876033058,0.12148760330578512,0.06056380189182692,2.0666753719388855,-0.3209326055612365,2.4685909317356574,2.593277747017401,121.48760330578511,low_morgan_lt_0.15,0.15,-1.5,121
Morgan,121,10,93,63,0.5619834710743802,0.07685950413223142,0.06056380189182692,1.2875699798819655,-0.14428148210541275,2.6027993070192577,2.714920250944262,76.85950413223141,low_morgan_lt_0.15,0.15,-1.5,121
AtomPair,121,10,147,116,0.6528925619834711,0.12148760330578515,0.06056380189182692,2.088331529402073,-0.31995718240428106,2.4548517589954746,2.5511656944964214,121.48760330578511,low_morgan_lt_0.15,0.15,-1.5,121
Avalon,121,10,110,80,0.5702479338842975,0.09090909090909091,0.06056380189182692,1.5448466315351808,-0.19001302285752958,2.5686482951648277,2.663020046693388,90.9090909090909,low_morgan_lt_0.15,0.15,-1.5,121
Random,121,10,68,68,0.47107438016528924,0.05619834710743802,0.06056380189182692,0.9313648894228337,-0.0732006718807715,2.65453477028867,2.7235452225547254,56.19834710743802,low_morgan_lt_0.15,0.15,-1.5,121
CGP-Align,121,50,1598,1196,0.9338842975206612,0.2641322314049587,0.06056380189182692,4.446353721366655,-0.8370763467096874,2.10901866115521,2.2376546869675,264.13223140495865,low_morgan_lt_0.15,0.15,-1.5,121
RDKit2D,121,50,645,514,0.8925619834710744,0.10661157024793387,0.06056380189182692,1.839203923654355,-0.25139443893781244,2.5093315962354614,2.659395799300083,106.61157024793388,low_morgan_lt_0.15,0.15,-1.5,121
NYAN,121,50,675,473,0.9421487603305785,0.11157024793388431,0.06056380189182692,1.8984171562644467,-0.2963267094519351,2.4733213945379102,2.6107420843178293,111.5702479338843,low_morgan_lt_0.15,0.15,-1.5,121
Morgan,121,50,439,280,0.9669421487603306,0.07256198347107438,0.06056380189182692,1.221213525464929,-0.11898539788240745,2.613901018221807,2.7473061435915094,72.56198347107438,low_morgan_lt_0.15,0.15,-1.5,121
AtomPair,121,50,676,493,0.9669421487603306,0.11173553719008264,0.06056380189182692,1.90416397707098,-0.29827187022187535,2.4683935101535694,2.595252836230384,111.73553719008264,low_morgan_lt_0.15,0.15,-1.5,121
Avalon,121,50,598,429,0.9834710743801653,0.09884297520661159,0.06056380189182692,1.6658246345941472,-0.23795021144051703,2.5347310960762903,2.6760197299162662,98.84297520661157,low_morgan_lt_0.15,0.15,-1.5,121
Random,121,50,363,357,0.9421487603305785,0.060000000000000005,0.06056380189182692,0.9956419704755595,-0.08937836570262117,2.6320660967661804,2.7449945408782597,60.0,low_morgan_lt_0.15,0.15,-1.5,121
CGP-Align,121,100,2903,1990,0.9752066115702479,0.23991735537190081,0.06056380189182692,4.029033168042054,-0.7289747934819542,2.179838628697465,2.3188219682314943,239.9173553719008,low_morgan_lt_0.15,0.15,-1.5,121
RDKit2D,121,100,1335,936,0.9504132231404959,0.1103305785123967,0.06056380189182692,1.8966234735460032,-0.26532006370585826,2.5029830827155584,2.666781479944494,110.3305785123967,low_morgan_lt_0.15,0.15,-1.5,121
NYAN,121,100,1279,885,1.0,0.10570247933884297,0.06056380189182692,1.7923411956104323,-0.273934259431909,2.4937619050499866,2.6393614385492548,105.70247933884296,low_morgan_lt_0.15,0.15,-1.5,121
Morgan,121,100,904,546,1.0,0.0747107438016529,0.06056380189182692,1.2565675234404392,-0.12947203208782812,2.6058172475188885,2.7506262935293466,74.7107438016529,low_morgan_lt_0.15,0.15,-1.5,121
AtomPair,121,100,1367,944,0.9917355371900827,0.11297520661157026,0.06056380189182692,1.914084705066121,-0.30408058024265067,2.4640382978381745,2.6004943522463035,112.97520661157024,low_morgan_lt_0.15,0.15,-1.5,121
Avalon,121,100,1230,867,0.9917355371900827,0.10165289256198348,0.06056380189182692,1.7118886671605797,-0.24975782747916814,2.5188468937162733,2.6685670055598134,101.65289256198346,low_morgan_lt_0.15,0.15,-1.5,121
Random,121,100,726,704,1.0,0.06,0.06056380189182692,0.9927651736247747,-0.09165825034200198,2.630181960879993,2.750537438308512,60.0,low_morgan_lt_0.15,0.15,-1.5,121
CGP-Align,187,10,630,513,0.8181818181818182,0.33689839572192515,0.09589420232171278,3.6104281490802155,-0.8386277123332275,1.7505081525059691,1.7977646317534999,336.89839572192517,low_morgan_lt_0.15,0.15,-1.0,187
RDKit2D,187,10,267,251,0.7540106951871658,0.1427807486631016,0.09589420232171278,1.5209199590431721,-0.2090522973949182,2.080651997370779,2.1732915826495125,142.7807486631016,low_morgan_lt_0.15,0.15,-1.0,187
NYAN,187,10,320,249,0.786096256684492,0.1711229946524064,0.09589420232171278,1.8353077440706833,-0.30702614036446596,2.05726858634389,2.150337652172545,171.12299465240642,low_morgan_lt_0.15,0.15,-1.0,187
Morgan,187,10,229,152,0.7379679144385026,0.12245989304812833,0.09589420232171278,1.29500872442759,-0.156918493811574,2.1626192555808896,2.24107984323204,122.45989304812835,low_morgan_lt_0.15,0.15,-1.0,187
AtomPair,187,10,302,241,0.7593582887700535,0.16149732620320856,0.09589420232171278,1.7420107259086934,-0.31276489091647375,2.031496669421592,2.096031394676009,161.49732620320856,low_morgan_lt_0.15,0.15,-1.0,187
Avalon,187,10,251,185,0.6470588235294118,0.1342245989304813,0.09589420232171278,1.431907235637341,-0.19505771750716222,2.1276264871349855,2.2004802189966575,134.22459893048128,low_morgan_lt_0.15,0.15,-1.0,187
Random,187,10,169,169,0.6042780748663101,0.09037433155080213,0.09589420232171278,0.9406994800629996,-0.07646507363757717,2.1652124491492213,2.229212186364476,90.37433155080214,low_morgan_lt_0.15,0.15,-1.0,187
CGP-Align,187,50,2836,2146,0.9732620320855615,0.30331550802139035,0.09589420232171278,3.2505871662820245,-0.7085024527136738,1.8183722913497187,1.9022647774243544,303.31550802139043,low_morgan_lt_0.15,0.15,-1.0,187
RDKit2D,187,50,1402,1122,0.9732620320855615,0.1499465240641711,0.09589420232171278,1.618570930658455,-0.2417089233444169,2.073832335431835,2.1753284935864374,149.94652406417111,low_morgan_lt_0.15,0.15,-1.0,187
NYAN,187,50,1502,1087,0.983957219251337,0.16064171122994653,0.09589420232171278,1.7199673400681394,-0.28399103819438065,2.0637051146864867,2.158362415181859,160.64171122994654,low_morgan_lt_0.15,0.15,-1.0,187
Morgan,187,50,1056,668,0.983957219251337,0.11294117647058824,0.09589420232171278,1.1934173090897737,-0.12342891263095088,2.161270333704206,2.2593518140603464,112.94117647058825,low_morgan_lt_0.15,0.15,-1.0,187
AtomPair,187,50,1510,1083,0.9786096256684492,0.16149732620320856,0.09589420232171278,1.734380540834226,-0.2917421591091829,2.0374294888143325,2.1243470964071163,161.49732620320856,low_morgan_lt_0.15,0.15,-1.0,187
Avalon,187,50,1325,953,0.983957219251337,0.14171122994652408,0.09589420232171278,1.5010272283899841,-0.231583129758598,2.101149241658361,2.200702493697035,141.71122994652407,low_morgan_lt_0.15,0.15,-1.0,187
Random,187,50,882,872,0.9893048128342246,0.09433155080213904,0.09589420232171278,0.9860447850920628,-0.0903540506931383,2.1608577028358855,2.247525044204076,94.33155080213903,low_morgan_lt_0.15,0.15,-1.0,187
CGP-Align,187,100,5276,3678,0.9946524064171123,0.28213903743315505,0.09589420232171278,3.0176885478826696,-0.6280687392169527,1.8644219987184858,1.9590683250604284,282.1390374331551,low_morgan_lt_0.15,0.15,-1.0,187
RDKit2D,187,100,2825,2007,1.0,0.15106951871657753,0.09589420232171278,1.6282860328059643,-0.24292393045018698,2.076389226307576,2.187344723409428,151.06951871657753,low_morgan_lt_0.15,0.15,-1.0,187
NYAN,187,100,2870,2003,1.0,0.15347593582887703,0.09589420232171278,1.6390133331529453,-0.2630632485545746,2.07423290853266,2.1769144089194015,153.475935828877,low_morgan_lt_0.15,0.15,-1.0,187
Morgan,187,100,2086,1290,1.0,0.11155080213903742,0.09589420232171278,1.1790813412870202,-0.1290103811222654,2.1556037050798564,2.262797287526325,111.55080213903744,low_morgan_lt_0.15,0.15,-1.0,187
