seed,epoch,component,loss
31,24,Total objective,13.629296384538923
31,24,Compound,4.595717164448329
31,24,ORF,4.864472150802612
31,24,CRISPR,4.169107086317879
31,25,Total objective,13.620144176483155
31,25,Compound,4.5887417929513115
31,25,ORF,4.860297386986868
31,25,CRISPR,4.171104993138995
31,26,Total objective,13.567374978746686
31,26,Compound,4.563611970629011
31,26,ORF,4.845309155327933
31,26,CRISPR,4.158453825541905
31,27,Total objective,13.51269702911377
31,27,Compound,4.54674049786159
31,27,ORF,4.834493235179356
31,27,CRISPR,4.131463323320661
31,28,Total objective,13.463756043570383
31,28,Compound,4.52883882522583
31,28,ORF,4.8116652761186876
31,28,CRISPR,4.123251932007926
31,29,Total objective,13.470386614118304
31,29,Compound,4.536118364334106
31,29,ORF,4.829137890679496
31,29,CRISPR,4.105130468096052
31,30,Total objective,13.435768577030727
31,30,Compound,4.501247310638428
31,30,ORF,4.800162526539394
31,30,CRISPR,4.134358882904053
31,31,Total objective,13.397135557447161
31,31,Compound,4.5157506465911865
31,31,ORF,4.802116346359253
31,31,CRISPR,4.079268567902702
31,32,Total objective,13.353381865365165
31,32,Compound,4.505017614364624
31,32,ORF,4.7712823799678254
31,32,CRISPR,4.077081847190857
31,33,Total objective,13.333096654074533
31,33,Compound,4.491081435339791
31,33,ORF,4.768398080553327
31,33,CRISPR,4.073617080279759
31,34,Total objective,13.324050767081124
31,34,Compound,4.4969093731471474
31,34,ORF,4.780971452168056
31,34,CRISPR,4.046170020103455
31,35,Total objective,13.321599783216204
31,35,Compound,4.5057926314217704
31,35,ORF,4.768342658451625
31,35,CRISPR,4.0474644456590925
31,36,Total objective,13.274840027945382
31,36,Compound,4.470012092590332
31,36,ORF,4.759283917290824
31,36,CRISPR,4.0455440895898
31,37,Total objective,13.238330255235944
31,37,Compound,4.480454928534371
31,37,ORF,4.746836771283831
31,37,CRISPR,4.011038586071559
31,38,Total objective,13.202659470694405
31,38,Compound,4.453422049113683
31,38,ORF,4.761698995317731
31,38,CRISPR,3.9875384637287685
31,39,Total objective,13.1578047479902
31,39,Compound,4.448431396484375
31,39,ORF,4.7363039561680385
31,39,CRISPR,3.9730693919318063
31,40,Total objective,13.116329084123883
31,40,Compound,4.44596574647086
31,40,ORF,4.728050402232578
31,40,CRISPR,3.9423129626682827
31,41,Total objective,13.12452004296439
31,41,Compound,4.430065679550171
31,41,ORF,4.735782316752842
31,41,CRISPR,3.958672046661377
31,42,Total objective,13.109960896628243
31,42,Compound,4.450036805016654
31,42,ORF,4.697260141372681
31,42,CRISPR,3.9626638616834367
31,43,Total objective,13.087753255026682
31,43,Compound,4.435391569137574
31,43,ORF,4.715916647229876
31,43,CRISPR,3.9364449160439627
31,44,Total objective,13.032070650373186
31,44,Compound,4.4174310547964915
31,44,ORF,4.70884381702968
31,44,CRISPR,3.905795734269278
31,45,Total objective,13.014092104775566
31,45,Compound,4.423403528758458
31,45,ORF,4.673146261487688
31,45,CRISPR,3.9175423451832363
31,46,Total objective,12.978293364388602
31,46,Compound,4.405829777036394
31,46,ORF,4.676877512250628
31,46,CRISPR,3.8955860887254987
31,47,Total objective,12.9388320514134
31,47,Compound,4.394757877077375
31,47,ORF,4.665878071103777
31,47,CRISPR,3.878196110044207
