method,pair_a,pair_b,mechanism_category,shared_gene_count,pair_shared_genes
AtomPair,1226,1730,PI3K/AKT/mTOR,1,20
AtomPair,1214,1787,Nuclear receptor/xenobiotic,3,25
AtomPair,205,1104,Proteostasis,1,1
AtomPair,33,116,Cell cycle/mitosis,2,26
AtomPair,33,116,MAPK/RTK,1,26
AtomPair,33,116,Nuclear receptor/xenobiotic,1,26
AtomPair,33,116,PI3K/AKT/mTOR,1,26
AtomPair,529,1315,MAPK/RTK,1,7
AtomPair,1112,1649,Nuclear receptor/xenobiotic,1,25
AtomPair,1112,1649,Proteostasis,1,25
AtomPair,436,841,Cell cycle/mitosis,2,23
AtomPair,436,841,DNA damage/repair,1,23
AtomPair,436,841,PI3K/AKT/mTOR,1,23
AtomPair,1214,1238,MAPK/RTK,1,23
AtomPair,116,120,MAPK/RTK,2,31
AtomPair,116,120,Cell cycle/mitosis,1,31
AtomPair,116,120,Nuclear receptor/xenobiotic,1,31
AtomPair,273,1080,Cell cycle/mitosis,1,27
AtomPair,273,1080,PI3K/AKT/mTOR,1,27
AtomPair,1299,1338,Cell cycle/mitosis,1,19
AtomPair,1420,1787,Lipid/transport state,1,21
AtomPair,1420,1787,Nuclear receptor/xenobiotic,1,21
AtomPair,1420,1787,PI3K/AKT/mTOR,1,21
AtomPair,1382,1486,Cell cycle/mitosis,3,23
AtomPair,1382,1486,DNA damage/repair,1,23
AtomPair,33,1189,Cell cycle/mitosis,2,25
AtomPair,33,1189,PI3K/AKT/mTOR,2,25
AtomPair,33,1189,Nuclear receptor/xenobiotic,1,25
AtomPair,820,1805,Cell cycle/mitosis,1,8
AtomPair,87,844,Nuclear receptor/xenobiotic,2,26
AtomPair,87,844,Epigenetic/chromatin,1,26
AtomPair,87,844,PI3K/AKT/mTOR,1,26
AtomPair,87,608,Epigenetic/chromatin,1,20
AtomPair,87,608,MAPK/RTK,1,20
AtomPair,1080,1382,Cell cycle/mitosis,2,26
AtomPair,1080,1382,DNA damage/repair,1,26
AtomPair,1235,1389,Cell cycle/mitosis,1,11
AtomPair,1235,1389,Microtubule,1,11
AtomPair,1235,1389,PI3K/AKT/mTOR,1,11
AtomPair,1119,1382,Cell cycle/mitosis,3,23
AtomPair,1119,1382,DNA damage/repair,1,23
AtomPair,300,1846,Cell cycle/mitosis,1,25
AtomPair,300,1846,Epigenetic/chromatin,1,25
AtomPair,300,1846,Lipid/transport state,1,25
AtomPair,1079,1585,Nuclear receptor/xenobiotic,3,34
AtomPair,1079,1585,Cell cycle/mitosis,1,34
AtomPair,1079,1585,Epigenetic/chromatin,1,34
AtomPair,1079,1585,MAPK/RTK,1,34
AtomPair,1079,1585,PI3K/AKT/mTOR,1,34
AtomPair,1220,1323,Cell cycle/mitosis,2,32
AtomPair,1220,1323,DNA damage/repair,1,32
AtomPair,1220,1323,MAPK/RTK,1,32
AtomPair,1220,1323,PI3K/AKT/mTOR,1,32
AtomPair,571,1649,Cell cycle/mitosis,2,26
AtomPair,528,1835,Cell cycle/mitosis,1,23
AtomPair,528,1835,Lipid/transport state,1,23
AtomPair,300,1341,Cell cycle/mitosis,1,27
AtomPair,300,1341,Lipid/transport state,1,27
AtomPair,546,898,MAPK/RTK,1,10
AtomPair,546,898,Nuclear receptor/xenobiotic,1,10
AtomPair,543,1137,DNA damage/repair,1,6
AtomPair,120,309,MAPK/RTK,2,30
AtomPair,120,309,Cell cycle/mitosis,1,30
AtomPair,120,309,Epigenetic/chromatin,1,30
AtomPair,120,309,Nuclear receptor/xenobiotic,1,30
AtomPair,51,120,Cell cycle/mitosis,1,31
AtomPair,51,120,MAPK/RTK,1,31
AtomPair,529,1338,Cell cycle/mitosis,1,19
AtomPair,309,841,Cell cycle/mitosis,3,30
AtomPair,309,841,MAPK/RTK,1,30
AtomPair,309,841,Nuclear receptor/xenobiotic,1,30
AtomPair,1428,1692,Cell cycle/mitosis,1,1
AtomPair,1011,1401,Cell cycle/mitosis,2,29
AtomPair,1011,1401,PI3K/AKT/mTOR,2,29
AtomPair,1011,1401,Microtubule,1,29
AtomPair,33,449,Cell cycle/mitosis,1,20
AtomPair,33,449,Microtubule,1,20
AtomPair,33,449,Nuclear receptor/xenobiotic,1,20
AtomPair,33,449,PI3K/AKT/mTOR,1,20
AtomPair,1323,1649,Cell cycle/mitosis,3,25
AtomPair,1189,1382,Cell cycle/mitosis,3,26
AtomPair,1137,1245,Cell cycle/mitosis,1,6
AtomPair,1137,1245,DNA damage/repair,1,6
AtomPair,309,1763,Cell cycle/mitosis,1,31
AtomPair,309,1763,Epigenetic/chromatin,1,31
AtomPair,309,1763,MAPK/RTK,1,31
AtomPair,309,1763,Nuclear receptor/xenobiotic,1,31
AtomPair,13,586,Cell cycle/mitosis,2,24
AtomPair,13,586,PI3K/AKT/mTOR,1,24
AtomPair,303,1697,Cell cycle/mitosis,2,31
AtomPair,303,1697,MAPK/RTK,1,31
AtomPair,303,1697,PI3K/AKT/mTOR,1,31
AtomPair,105,1238,Cell cycle/mitosis,1,27
AtomPair,698,1649,Cell cycle/mitosis,1,28
AtomPair,698,1649,MAPK/RTK,1,28
AtomPair,1486,1585,Cell cycle/mitosis,3,33
AtomPair,1486,1585,Nuclear receptor/xenobiotic,2,33
AtomPair,1486,1585,MAPK/RTK,1,33
AtomPair,1486,1585,PI3K/AKT/mTOR,1,33
AtomPair,934,1341,Cell cycle/mitosis,1,29
AtomPair,934,1341,Lipid/transport state,1,29
AtomPair,934,1341,PI3K/AKT/mTOR,1,29
AtomPair,1079,1220,Cell cycle/mitosis,1,34
AtomPair,1079,1220,Epigenetic/chromatin,1,34
AtomPair,1079,1220,MAPK/RTK,1,34
AtomPair,1079,1220,Nuclear receptor/xenobiotic,1,34
AtomPair,1079,1220,PI3K/AKT/mTOR,1,34
AtomPair,673,1189,Cell cycle/mitosis,3,30
AtomPair,673,1189,Nuclear receptor/xenobiotic,1,30
AtomPair,673,1189,PI3K/AKT/mTOR,1,30
AtomPair,460,632,Lipid/transport state,3,14
AtomPair,460,632,Cell cycle/mitosis,1,14
AtomPair,314,613,MAPK/RTK,1,4
AtomPair,105,1763,Cell cycle/mitosis,1,28
AtomPair,105,1763,PI3K/AKT/mTOR,1,28
AtomPair,83,958,Cell cycle/mitosis,2,24
AtomPair,83,958,DNA damage/repair,1,24
AtomPair,83,958,Nuclear receptor/xenobiotic,1,24
AtomPair,205,1338,Cell cycle/mitosis,1,8
AtomPair,672,1220,Cell cycle/mitosis,1,37
AtomPair,672,1220,DNA damage/repair,1,37
AtomPair,672,1220,Epigenetic/chromatin,1,37
AtomPair,672,1220,Lipid/transport state,1,37
AtomPair,672,1220,Nuclear receptor/xenobiotic,1,37
AtomPair,672,1220,PI3K/AKT/mTOR,1,37
AtomPair,120,1189,Cell cycle/mitosis,1,26
AtomPair,120,1189,Nuclear receptor/xenobiotic,1,26
AtomPair,841,1763,Cell cycle/mitosis,2,22
AtomPair,461,1079,MAPK/RTK,2,39
AtomPair,461,1079,Cell cycle/mitosis,1,39
AtomPair,461,1079,Epigenetic/chromatin,1,39
AtomPair,461,1079,Nuclear receptor/xenobiotic,1,39
AtomPair,461,1079,PI3K/AKT/mTOR,1,39
AtomPair,35,387,Nuclear receptor/xenobiotic,2,27
AtomPair,1389,1763,Cell cycle/mitosis,2,31
AtomPair,1389,1763,Epigenetic/chromatin,1,31
AtomPair,1389,1763,Lipid/transport state,1,31
AtomPair,1389,1763,MAPK/RTK,1,31
AtomPair,1389,1763,Nuclear receptor/xenobiotic,1,31
AtomPair,1389,1763,PI3K/AKT/mTOR,1,31
AtomPair,794,1637,Cell cycle/mitosis,1,12
AtomPair,794,1637,Nuclear receptor/xenobiotic,1,12
AtomPair,436,1382,Cell cycle/mitosis,2,25
AtomPair,436,1382,DNA damage/repair,1,25
AtomPair,314,1719,Cell cycle/mitosis,1,8
AtomPair,314,1719,Nuclear receptor/xenobiotic,1,8
AtomPair,273,1719,Cell cycle/mitosis,3,20
AtomPair,1323,1585,Cell cycle/mitosis,3,33
AtomPair,1323,1585,Nuclear receptor/xenobiotic,2,33
AtomPair,1323,1585,MAPK/RTK,1,33
AtomPair,1323,1585,PI3K/AKT/mTOR,1,33
AtomPair,555,1702,Cell cycle/mitosis,2,5
AtomPair,688,806,Cell cycle/mitosis,2,22
AtomPair,688,806,Nuclear receptor/xenobiotic,2,22
AtomPair,688,806,MAPK/RTK,1,22
AtomPair,942,1092,Nuclear receptor/xenobiotic,3,25
AtomPair,942,1092,Cell cycle/mitosis,1,25
AtomPair,942,1092,Proteostasis,1,25
AtomPair,865,1119,Nuclear receptor/xenobiotic,2,19
AtomPair,232,1004,Cell cycle/mitosis,2,17
AtomPair,232,1004,MAPK/RTK,1,17
AtomPair,232,1004,Nuclear receptor/xenobiotic,1,17
AtomPair,232,1004,PI3K/AKT/mTOR,1,17
AtomPair,33,1238,Cell cycle/mitosis,1,16
AtomPair,0,1235,PI3K/AKT/mTOR,2,19
AtomPair,525,1527,Cell cycle/mitosis,1,27
AtomPair,525,1527,Lipid/transport state,1,27
AtomPair,105,387,Nuclear receptor/xenobiotic,2,34
AtomPair,105,387,Cell cycle/mitosis,1,34
AtomPair,105,387,DNA damage/repair,1,34
AtomPair,105,387,MAPK/RTK,1,34
AtomPair,1043,1709,Nuclear receptor/xenobiotic,1,12
AtomPair,33,1043,PI3K/AKT/mTOR,1,21
AtomPair,396,1238,Cell cycle/mitosis,1,30
AtomPair,1226,1389,Cell cycle/mitosis,2,27
AtomPair,1226,1389,Nuclear receptor/xenobiotic,2,27
AtomPair,1226,1389,MAPK/RTK,1,27
AtomPair,1226,1389,PI3K/AKT/mTOR,1,27
AtomPair,481,586,Cell cycle/mitosis,2,22
AtomPair,481,586,PI3K/AKT/mTOR,1,22
AtomPair,35,1236,Nuclear receptor/xenobiotic,5,30
AtomPair,35,1236,Cell cycle/mitosis,1,30
AtomPair,273,320,Cell cycle/mitosis,2,11
AtomPair,273,320,PI3K/AKT/mTOR,1,11
AtomPair,1011,1269,PI3K/AKT/mTOR,2,23
AtomPair,1011,1269,Cell cycle/mitosis,1,23
AtomPair,1011,1269,Microtubule,1,23
AtomPair,1486,1649,Cell cycle/mitosis,3,25
AtomPair,51,1220,Cell cycle/mitosis,1,33
AtomPair,51,1220,Lipid/transport state,1,33
AtomPair,1196,1214,Nuclear receptor/xenobiotic,1,18
AtomPair,1161,1571,Cell cycle/mitosis,1,19
AtomPair,1161,1571,Microtubule,1,19
AtomPair,1161,1571,PI3K/AKT/mTOR,1,19
AtomPair,1004,1214,Epigenetic/chromatin,1,10
AtomPair,1004,1214,Nuclear receptor/xenobiotic,1,10
AtomPair,85,436,Cell cycle/mitosis,1,16
AtomPair,85,436,Lipid/transport state,1,16
AtomPair,226,908,Nuclear receptor/xenobiotic,2,15
AtomPair,534,1585,Cell cycle/mitosis,1,7
AtomPair,1236,1649,Cell cycle/mitosis,1,21
AtomPair,1236,1649,MAPK/RTK,1,21
AtomPair,1597,1763,Cell cycle/mitosis,1,12
AtomPair,1597,1763,Epigenetic/chromatin,1,12
AtomPair,1597,1763,PI3K/AKT/mTOR,1,12
AtomPair,529,1241,MAPK/RTK,2,11
AtomPair,529,1241,Nuclear receptor/xenobiotic,1,11
AtomPair,387,1486,Cell cycle/mitosis,2,34
AtomPair,387,1486,Nuclear receptor/xenobiotic,2,34
AtomPair,387,1486,DNA damage/repair,1,34
AtomPair,387,1486,MAPK/RTK,1,34
AtomPair,1081,1486,Nuclear receptor/xenobiotic,3,20
AtomPair,1081,1486,Cell cycle/mitosis,2,20
AtomPair,841,1835,Nuclear receptor/xenobiotic,1,15
AtomPair,1186,1220,Cell cycle/mitosis,3,35
AtomPair,1186,1220,Epigenetic/chromatin,1,35
AtomPair,1186,1220,Lipid/transport state,1,35
AtomPair,1186,1220,MAPK/RTK,1,35
AtomPair,1186,1220,Microtubule,1,35
AtomPair,1186,1220,Nuclear receptor/xenobiotic,1,35
AtomPair,1186,1220,PI3K/AKT/mTOR,1,35
AtomPair,528,1110,DNA damage/repair,1,21
AtomPair,309,1196,Cell cycle/mitosis,2,25
AtomPair,309,1196,MAPK/RTK,1,25
AtomPair,571,1110,DNA damage/repair,1,18
AtomPair,1220,1236,Cell cycle/mitosis,3,31
AtomPair,1220,1236,DNA damage/repair,1,31
AtomPair,1220,1236,MAPK/RTK,1,31
AtomPair,1220,1236,Nuclear receptor/xenobiotic,1,31
AtomPair,1220,1236,PI3K/AKT/mTOR,1,31
AtomPair,195,685,Nuclear receptor/xenobiotic,1,7
AtomPair,1069,1338,Cell cycle/mitosis,3,12
AtomPair,178,314,DNA damage/repair,1,1
AtomPair,1175,1596,Cell cycle/mitosis,1,24
AtomPair,1175,1596,Lipid/transport state,1,24
AtomPair,1175,1596,MAPK/RTK,1,24
AtomPair,1175,1596,PI3K/AKT/mTOR,1,24
AtomPair,673,865,Nuclear receptor/xenobiotic,2,20
AtomPair,33,1214,Epigenetic/chromatin,1,21
AtomPair,33,1214,Nuclear receptor/xenobiotic,1,21
AtomPair,294,1559,Cell cycle/mitosis,1,5
AtomPair,1080,1119,Nuclear receptor/xenobiotic,4,31
AtomPair,1080,1119,Cell cycle/mitosis,1,31
AtomPair,1080,1119,DNA damage/repair,1,31
AtomPair,178,334,DNA damage/repair,1,7
AtomPair,698,1489,Cell cycle/mitosis,1,25
AtomPair,320,1238,Cell cycle/mitosis,2,10
AtomPair,841,1486,Cell cycle/mitosis,3,29
AtomPair,841,1486,Nuclear receptor/xenobiotic,2,29
AtomPair,841,1486,MAPK/RTK,1,29
AtomPair,841,1486,PI3K/AKT/mTOR,1,29
AtomPair,1238,1486,Cell cycle/mitosis,3,28
