method,query_idx,retrieved_idx,pair_a,pair_b,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20
RDKit2D,530,1238,530,1238,17,0.3680685758590698,0.4725101590156555,50,0,0.0,1.0,-0.0,0,0,,KX2-391,barasertib-HQPA,"src inhibitor, tubulin polymerization inhibitor",Aurora kinase inhibitor,SRC,AURKB,,,
RDKit2D,1435,1503,1435,1503,17,0.4586578607559204,0.4599573910236358,50,0,0.0,1.0,-0.0,0,0,,TH-302,KW-2478,DNA alkylating agent,HSP inhibitor,,,,,
RDKit2D,320,1112,320,1112,17,0.3303765654563904,0.3885635137557983,50,7,0.07526881720430108,3.209236725104128e-08,7.493598246564641,0,0,,olaparib,dovitinib,PARP inhibitor,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","PARP1, PARP2","CSF1R, EGFR, FGFR1, FGFR2, FGFR3, FLT1, FLT3, FLT4, INSR, KDR, KIT, PDGFRA, PDGFRB",,,TRRAP;CHN2;POLQ;FBXO5;RFC1;BMPR2;REV3L
RDKit2D,227,1401,227,1401,17,0.3044683039188385,0.3499983251094818,50,36,0.5625,1.4510930437421621e-74,73.83830473981017,6,3,Cell cycle/mitosis:2; DNA damage/repair:2; PI3K/AKT/mTOR:2,buparlisib,PI-103,PI3K inhibitor,"mTOR inhibitor, PI3K inhibitor","PIK3CA, PIK3CG","MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC",MTOR,MTOR,AFF3;RUNX3;REV3L;PI4KA;CISH;SOCS3;AFF1;RUNX2;SOCS2;MED14;CDC25A;WRN;CHN2;RUNX1;SOCS6;DDX56;BRCA2;MED13;GRB7;SYT11
RDKit2D,36,1445,36,1445,17,0.4014829397201538,0.3473570346832275,50,1,0.010101010101010102,0.2869679581324841,0.542166592405756,0,0,,ZK-93423,NMS-873,benzodiazepine receptor agonist,ATPase inhibitor,"GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2",VCP,,,KLF6
RDKit2D,1596,1431,1431,1596,17,0.3851785063743591,0.3403646349906921,50,24,0.3157894736842105,1.0496823698947559e-41,40.978942096997415,4,3,Nuclear receptor/xenobiotic:2; Cell cycle/mitosis:1; Lipid/transport state:1,MGCD-265,lenvatinib,VEGFR inhibitor,"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","AXL, MET","FLT4, KDR",,,CHN2;REV3L;POLQ;WRN;DDX56;RUNX3;SYT11;RUNX2;TAGAP;CDC25A;SYT12;E2F4;SOCS3;PCNA;SLC2A11;AFF3;TRRAP;AFF1;ACVR1;MDM2
RDKit2D,1585,35,35,1585,17,0.4295860528945923,0.3206562101840973,50,25,0.3333333333333333,3.851724614109988e-44,43.414344771092615,2,1,Nuclear receptor/xenobiotic:2,aurora-a-inhibitor-i,TAK-901,Aurora kinase inhibitor,Aurora kinase inhibitor,AURKA,AURKB,,,CHN2;REV3L;POLQ;TAGAP;RUNX3;SYT11;MED14;PRPF8;MDM2;SOCS6;EHMT1;WRN;SOCS3;SOCS2;STAG1;PI4KA;TRRAP;RUNX2;FBXO5;ARHGEF26
RDKit2D,334,1219,334,1219,17,0.4317279458045959,0.315835028886795,50,4,0.041666666666666664,0.0003309395285854571,3.4802513560760056,0,0,,OSI-930,SGI-1027,"KIT inhibitor, VEGFR inhibitor",DNA methyltransferase inhibitor,"KDR, KIT","DNMT1, DNMT3A, DNMT3B",,,REV3L;POLQ;ANK2;CHN2
RDKit2D,83,1196,83,1196,17,0.3883314132690429,0.3152610957622528,50,27,0.3698630136986301,3.636436345798233e-49,48.43932401015787,6,4,Cell cycle/mitosis:3; Microtubule:1; Nuclear receptor/xenobiotic:1; PI3K/AKT/mTOR:1,genz-644282,WYE-125132,topoisomerase inhibitor,mTOR inhibitor,TOP1,MTOR,MTOR,MTOR,CHN2;DDX56;CISH;REV3L;TRRAP;AFF3;MED14;CCNT1;SOCS3;WRN;MDM2;CDC25A;POLQ;ARHGEF26;MTOR;PI4KA;CAND1;SOCS2;TAGAP;RACGAP1
RDKit2D,1598,1056,1056,1598,17,0.3388483822345733,0.3121842443943023,50,6,0.06382978723404255,8.580433222801445e-07,6.066490784234942,2,2,Lipid/transport state:1; Nuclear receptor/xenobiotic:1,cabozantinib,apatinib,"RET tyrosine kinase inhibitor, VEGFR inhibitor",RET tyrosine kinase inhibitor,"KDR, MET","CSK, KDR, KIT, RET",,,SYT12;ARHGEF25;DEF6;AFF1;SLC2A11;RIN1
RDKit2D,1437,1846,1437,1846,17,0.3470551371574402,0.3072446286678314,50,19,0.2345679012345679,2.7950081602192847e-30,29.553616919822986,1,1,Lipid/transport state:1,vandetanib,TAK-285,"EGFR inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor",EGFR inhibitor,"EGFR, EPHA1, EPHA10, EPHA2, EPHA3, EPHA4, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB3, EPHB4, EPHB6, ERBB2, ERBB3, ERBB4, FLT1, FLT4, KDR, PTK6, RET, SRC, TEK, VEGFA",ERBB2,EPHA4,,CHN2;RUNX3;SLC2A11;RUNX2;SYT11;REV3L;SOCS3;KMT2C;POLQ;SOCS6;SYT12;TAGAP;WRN;SOCS2;AFF3;STAG1;EIF4G1;ZNF593;ACVR1
